"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "312608" 1986 NA "Amomyrtus meli" "" -73.166667 -39.5 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100205043" 1990 NA "Amomyrtus meli" "" -73.065278 -41.155278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100205017" 1993 NA "Amomyrtus meli" "" -73.166667 -39.916667 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"F" "Botany" "V0107248F" NA NA "Amomyrtus meli" "" -70.8906 -35.8156 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00096179" 1996 NA "Amomyrtus meli" "" -73.031667 -41.388611 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00022889" 1988 NA "Amomyrtus meli" "" -73.366667 -40.233333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"traits" NA NA NA NA "Amomyrtus meli" NA -73.213 -39.611 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1990 NA "Amomyrtus meli" NA -73.0652778 -41.1552778 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Amomyrtus meli" NA -72.9808 -36.8956 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Amomyrtus meli" NA -74.0844 -42.2436 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Amomyrtus meli" NA -73.13 -39.3186 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Amomyrtus meli" NA -72.4056 -42.6061 NA NA "BIEN" "6_no_criteria_met"
