"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HSTM" "HSTM000637" 2015 "2016-03-01" "Blepharocalyx eggersii" "Sobral, M." -54.9336111111111 -2.51194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01024631" 2014 NA "Blepharocalyx eggersii" "Sem determinador" -39.0522222222222 -15.2702777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01175803" 1976 NA "Blepharocalyx eggersii" "L. R. Landrum" -70.305 -4.28722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01175802" 1997 NA "Blepharocalyx eggersii" "M. A. D. de Souza" -59.9666666666667 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00851436" 2014 NA "Blepharocalyx eggersii" "DFLIMA" -39.0397222222222 -16.3005555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561410" 1980 NA "Blepharocalyx eggersii" "B. K. Holst" -39.0144444444444 -14.1033333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01175350" 1973 NA "Blepharocalyx eggersii" "L. R. Landrum" -60.32 -2.545 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01175349" 1974 NA "Blepharocalyx eggersii" "L. R. Landrum" -60.3194444444444 -2.54555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "IAN" "IAN171176" 1994 NA "Blepharocalyx eggersii" "Kawasaki, ML" -59.58 -2.53 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS172258" NA NA "Blepharocalyx eggersii" "Sem determinador" -38.9955555555556 -16.2205555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00561411" 1980 NA "Blepharocalyx eggersii" "B. K. Holst" -39.0244444444444 -16.2783333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00433312" 1977 NA "Blepharocalyx eggersii" "Matheus Fortes Santos" -39 -14.1333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00549597" 1977 NA "Blepharocalyx eggersii" "Matheus Fortes Santos" -39.1833333333333 -16.4 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00533248" 1993 NA "Blepharocalyx eggersii" "M. Sobral" -37.4380555555556 -11.2683333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906782" 2006 NA "Blepharocalyx eggersii" "M. Sobral" -39.2022222222222 -16.4191666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "FPR-COLOMBIA" "69093" NA NA "Blepharocalyx eggersii" "" -65.8166666666667 1.53333333333333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "FPR-COLOMBIA" "69092" NA NA "Blepharocalyx eggersii" "" -65.6333333333333 1.51666666666667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "123289" NA NA "Blepharocalyx eggersii" "M. Sobral" -38.995556 -16.220556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "19947" NA NA "Blepharocalyx eggersii" "M. Sobral" -39.183333 -16.4 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "21416" NA NA "Blepharocalyx eggersii" "M. Sobral" -39 -14.133333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "92173" NA NA "Blepharocalyx eggersii" "M. Sobral" -39.05 -16.433333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "93763" NA NA "Blepharocalyx eggersii" "M. Sobral" -39.121389 -16.495 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "56877" NA NA "Blepharocalyx eggersii" "M. Sobral" -39.066667 -14.366667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00906782" 2006 NA "Blepharocalyx eggersii" "M. Sobral" -39.2022 -16.4192 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01175349" 1974 NA "Blepharocalyx eggersii" "L. R. Landrum" -60.3194 -2.5456 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01175350" 1973 NA "Blepharocalyx eggersii" "L. R. Landrum" -60.3200886 -2.5451154 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01175801" 1995 NA "Blepharocalyx eggersii" "M. L. Kawasaki" -59.966667 -2.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01175803" 1976 NA "Blepharocalyx eggersii" "L. R. Landrum" -70.30503 -4.2873106 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "533248" 1993 NA "Blepharocalyx eggersii" "M. Sobral" -37.4381 -11.2683 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "561410" 1980 NA "Blepharocalyx eggersii" "B. K. Holst" -39.0144 -14.1033 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
