"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB00686672" 2011 NA "Calycolpus alternifolius" "R. G. Barbosa Silva" -63.4169444444444 -0.870833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01176858" 1984 NA "Calycolpus alternifolius" "B. K. Holst" -63.37 -0.85 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176859" 1978 NA "Calycolpus alternifolius" "L. R. Landrum" -63.3747222222222 -0.901666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176860" NA NA "Calycolpus alternifolius" "O. Huber" -62.9241666666667 -0.974722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00873538" 2014 "2014-04-19" "Calycolpus alternifolius" "R.G.Barbosa-Silva" -63.3330555555556 -0.863055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "NYBG_BR" "01176858" 1984 NA "Calycolpus alternifolius" "B. K. Holst" -63.37 0.85 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176860" 1989 NA "Calycolpus alternifolius" "O. Huber" -62.9242 -0.974722 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "INPA" "122318" 1984 NA "Calycolpus alternifolius" "Holst, BK" -63.366667 0.85 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "132611" 1984 NA "Calycolpus alternifolius" "Landrum, LR" -63.356111 0.865833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "261663" 2014 NA "Calycolpus alternifolius" "Sobral, MEG" -63.341222 0.874167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "270420" 2011 NA "Calycolpus alternifolius" "Barbosa-Silva, RG" -63.419444 0.870833 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SP" "332703" 1987 NA "Calycolpus alternifolius" "Holst, BK" -62.533333 5.85 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "604759" 2014 "2014-04-19" "Calycolpus alternifolius" "R.G.Barbosa-Silva" -63.3330555555556 0.863055555555556 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "536191" 2011 NA "Calycolpus alternifolius" "R. G. Barbosa Silva" -63.4169444444444 0.870833333333333 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"US" "Botany" "2583950" 1964 NA "Calycolpus alternifolius" "Landrum, L. R." -62.41 5.93 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3058940" 1984 NA "Calycolpus alternifolius" "Landrum, L. R." -62 5.18 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3097601" 1985 NA "Calycolpus alternifolius" "Landrum, L. R." -62.15 5.26 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3336207" 1989 NA "Calycolpus alternifolius" "Huber, O." -62.56 5.88 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"US" "Botany" "3524253" 1983 NA "Calycolpus alternifolius" "Landrum, L. R." -62.53 5.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3184871" 1981 NA "Calycolpus alternifolius" "L.R. Landrum (ASU)" -67 5 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3184972" 1989 NA "Calycolpus alternifolius" "O.Huber" -62.56666 5.88333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3184723" 1984 NA "Calycolpus alternifolius" "Bruce K.Holst" -62 5.183333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310125" 1987 NA "Calycolpus alternifolius" "B.K. Holst" -62.53333 5.85 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" NA 1984 NA "Calycolpus alternifolius" NA -62 5.1833333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
