"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "US" "US01889521" 1987 NA "Calycolpus goetheanus" "Sem determinador" -68.6666666666667 -0.3 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01176874" 1929 NA "Calycolpus goetheanus" "L. R. Landrum" -48.3827777777778 -1.14583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01889520" 1995 NA "Calycolpus goetheanus" "Sem determinador" -59.9666666666667 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01176881" 1980 NA "Calycolpus goetheanus" "I. Bemerguy" -49.5472222222222 -3.75111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01176880" 1978 NA "Calycolpus goetheanus" "L. R. Landrum" -47.8480555555556 -0.728888888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01889523" 1980 NA "Calycolpus goetheanus" "Sem determinador" -48.0666666666667 -0.85 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00686527" 2011 "2012-08-06" "Calycolpus goetheanus" "M.C.SOUZA" -63.3413888888889 -0.874722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "IAN" "IAN175356" 2001 NA "Calycolpus goetheanus" "Cordeiro, MR" -48.2625 -1.25472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01176887" 1980 NA "Calycolpus goetheanus" "L. R. Landrum" -48.07 -0.85 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MIRR" "12440" 1988 NA "Calycolpus goetheanus" "Kawasaki, M.L." -59.966667 -2.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MIRR" "5705" 2002 NA "Calycolpus goetheanus" "" -60.997222 1.402222 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "MOBOT_BR" "100293562" 1980 NA "Calycolpus goetheanus" "L.R. Landrum (ASU)" -48.0666667 -0.85 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3182616" 1990 NA "Calycolpus goetheanus" "Bruce K.Holst" -48.4 -1.1166667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01132122" 1932 NA "Calycolpus goetheanus" "L. R. Landrum" -44.8681 -1.8283 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176869" 1987 NA "Calycolpus goetheanus" "M. L. Kawasaki" -68.666667 0.3 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176874" 1929 NA "Calycolpus goetheanus" "L. R. Landrum" -48.3828 -1.1458 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176880" 1978 NA "Calycolpus goetheanus" "L. R. Landrum" -47.8481 -0.728889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "147110" 1987 NA "Calycolpus goetheanus" "Souza, MC de" -52.95 -1.133333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "167456" 1987 NA "Calycolpus goetheanus" "" -63.633333 3.766667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "INPA" "205761" NA NA "Calycolpus goetheanus" "Holst, BK" -64.8 6.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "216235" 2005 NA "Calycolpus goetheanus" "Santos, JL dos" -61.946944 1.142222 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
