"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0035727" 2009 NA "Calycolpus legrandii" "M.Sobral" -36.5 -10.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0034402" 2008 "2009-03-29" "Calycolpus legrandii" "E.C.O.Chagas" -36.5 -10.2019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0021480" 2004 "2004-11-23" "Calycolpus legrandii" "M.C.Machado" -38.3125 -12.5311111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0041898" 2009 NA "Calycolpus legrandii" "M.Sobral" -36.5216666666667 -10.4 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0020106" 2004 NA "Calycolpus legrandii" "E.C.O.Chagas" -36.4975 -10.1841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0014185" 2001 NA "Calycolpus legrandii" "M.Sobral" -36.4972222222222 -10.1841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0061860" 2016 NA "Calycolpus legrandii" "M.Sobral" -35.8783333333333 -9.80972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0013575" 2001 NA "Calycolpus legrandii" "M.Sobral" -35.9477777777778 -9.81333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0017085" 2002 NA "Calycolpus legrandii" "E.C.O.Chagas" -37.1052777777778 -10.2147222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0031776" 2008 NA "Calycolpus legrandii" "M.Sobral" -35.8705555555556 -9.78722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0010337" 1997 NA "Calycolpus legrandii" "E.C.O.Chagas" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0063778" 2006 NA "Calycolpus legrandii" "A.M.Miranda" -38.4758333333333 -12.8686111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "BRBA" "BRBA002745" 2001 NA "Calycolpus legrandii" "Sem determinador" -37.6 -11.8 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
