"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -58.6261 -14.8233 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -57.1947 -15.0889 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -58.85329819 -15.44750023 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.9203 -16.9661 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -57.62250137 -17.77249908 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -58.9217 -15.3603 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.0194 -15.6225 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -56.92470169 -17.19330025 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -55.72249985 -15.48419952 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -57.40390015 -17.84830093 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -57.2358 -14.4564 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.8383 -16.7319 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -57.4831 -16.8269 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -55.8281 -15.3525 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.3767 -16.5075 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -57.9178 -15.1892 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -56.8382988 -16.73189926 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -57.7560997 -16.20079994 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -55.7225 -15.4842 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -55.8368988 -15.40750027 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -57.7561 -16.2008 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -56.92029953 -16.96610069 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.8019 -14.48 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -54.54859924 -16.50309944 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -56.53639984 -16.3125 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -55.8369 -15.4075 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -54.9567 -16.4631 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -55.8972 -16.0536 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -56.37670135 -16.50749969 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.3517 -15.2089 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.4811 -14.4925 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -55.9761 -15.4944 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -55.8280983 -15.35249996 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -57.6225 -17.7725 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Calyptranthes amoena" NA -56.80189896 -14.48279953 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -55.3372 -14.845 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes amoena" NA -56.5364 -16.3125 NA NA "BIEN" "6_no_criteria_met"
