"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01176920" 1971 NA "Calyptranthes crebra" "R. McVaugh" -60.0802777777778 -2.90777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01413914" 2001 NA "Calyptranthes crebra" "M. L. Kawasaki" -73.07 -8.18 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00866666" 1992 NA "Calyptranthes crebra" "B. K. Holst" -72.68 -9.2 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01370539" 1995 NA "Calyptranthes crebra" "B.K. Holst" -61.0575 -14.7680555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176921" 1936 NA "Calyptranthes crebra" "R. McVaugh" -69.5047222222222 -4.69694444444445 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CNMT" "2921" 2011 NA "Calyptranthes crebra" "" -58.258639 -9.819417 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ESA" "ESA120139" 1995 NA "Calyptranthes crebra" "Holst, B.K." -61.145 -14.709722 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3184765" 1992 NA "Calyptranthes crebra" "B.K. Holst" -72.68333 -9.2 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176920" 1971 NA "Calyptranthes crebra" "R. McVaugh" -60.0803661 -2.9078962 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176921" 1936 NA "Calyptranthes crebra" "R. McVaugh" -69.5048332 -4.696879 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "181907" 1995 NA "Calyptranthes crebra" "Souza, MAD de" -59.966667 -2.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "233012" 2002 NA "Calyptranthes crebra" "" -59.941544 -2.959802 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "INPA" "256942" NA "2013-07-01" "Calyptranthes crebra" "Ramos, JF" -56.976944 -5.308333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "8997" 1968 NA "Calyptranthes crebra" "" -65.332216 -10.790926 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "EAC" "37628" 1987 "2013-04-25" "Calyptranthes crebra" "Lourenço, A.R." -50.166667 -0.616667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MFS" "001516" 2005 NA "Calyptranthes crebra" "Lobato, LCB" -65.3725 -5.406944 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "BOTU" "6454" 1976 NA "Calyptranthes crebra" "" -63.166667 -7.516667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SP" "338317" 1995 NA "Calyptranthes crebra" "Araújo, AC" -61.031556 -14.770847 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"MO" "MO" "3184748" 1988 NA "Calyptranthes crebra" "M.L. Kawasaki" -73.75 -4.91666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3184815" 1976 NA "Calyptranthes crebra" "" -73.24972 -3.70305 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3184907" 1990 NA "Calyptranthes crebra" "K. Ruokolainen" -73.4 -3.86666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100652899" 2012 NA "Calyptranthes crebra" "" -75.285 -10.354167 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "309181" 1985 NA "Calyptranthes crebra" "L.R. Landrum (ASU)" -73.28333 -4.38333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
