"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0016362" 2002 NA "Calyptranthes dardanoi" "M.Sobral" -36.3466666666667 -10.2902777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0044911" 2009 NA "Calyptranthes dardanoi" "M.Sobral" -36.5 -9.45194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051455" 2009 NA "Calyptranthes dardanoi" "Sem determinador" -35.5 -8.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0023988" 2006 NA "Calyptranthes dardanoi" "M.Sobral" -36.2794444444444 -10.2688888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561464" 1995 NA "Calyptranthes dardanoi" "Sem determinador" -37.1541666666667 -8.625 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS185838" NA NA "Calyptranthes dardanoi" "C.E.B.Proença" -37.2705555555556 -11.2663888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0020209" 2008 NA "Calyptranthes dardanoi" "Proença, C" -37.1852777777778 -10.4527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "561464" 1995 NA "Calyptranthes dardanoi" "" -37.1542 -8.625 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "PEUFR" "23426" 1994 NA "Calyptranthes dardanoi" "Mattos" -37.166667 -8.616667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "PEUFR" "42522" 1996 "2010-07-22" "Calyptranthes dardanoi" "B.S. Amorim" -36.370833 -8.15 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
