"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000331270" 1984 NA "Calyptranthes fasciculata" "Kawasaki, M.L." -61.02 -11.2 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176897" 1984 NA "Calyptranthes fasciculata" "M. L. Kawasaki" -60.7558333333333 -11.3480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176895" 1987 NA "Calyptranthes fasciculata" "Sem determinador" -61.5166666666667 3.35 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00304452" 1978 NA "Calyptranthes fasciculata" "Ione Bemerguy" -45.75 -2.91666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331269" 1987 NA "Calyptranthes fasciculata" "Sem determinador" -61.52 3.35 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01176900" 1979 NA "Calyptranthes fasciculata" "B. K. Holst" -61.6666666666667 3.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00002921" NA NA "Calyptranthes fasciculata" "Sobral, M" -64.0430555555556 -8.50472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01894916" NA NA "Calyptranthes fasciculata" "Sem determinador" -65.4833333333333 -0.3 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331271" 1969 NA "Calyptranthes fasciculata" "McVaugh, R." -60.22 2.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00720020" 1978 NA "Calyptranthes fasciculata" "Sem determinador" -45.75 -2.92 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331268" 1987 NA "Calyptranthes fasciculata" "Kawasaki, M.L." -65.48 -0.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176898" 1969 NA "Calyptranthes fasciculata" "R. McVaugh" -60.1833333333333 2.41666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "313818" 1984 NA "Calyptranthes fasciculata" "B. K. Holst (MO)" -47.98333 -1.5 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176894" 1987 NA "Calyptranthes fasciculata" "M. L. Kawasaki" -65.483333 -0.3 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176898" 1969 NA "Calyptranthes fasciculata" "R. McVaugh" -60.183333 2.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176900" 1979 NA "Calyptranthes fasciculata" "B. K. Holst" -61.666667 3.333333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "167342" 1987 NA "Calyptranthes fasciculata" "" -61.516667 3.35 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "INPA" "196527" 1991 NA "Calyptranthes fasciculata" "Holst, BK" -59.35 3.016667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "244491" 2009 NA "Calyptranthes fasciculata" "Souza, MAD de; Sobral, M" -64.670556 -9.266389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "246165" 2011 NA "Calyptranthes fasciculata" "Sobral, MEG; Souza, MAD de" -63.2966 -8.19523 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "9012" NA NA "Calyptranthes fasciculata" "M. L. Kawasaki" -61.013851 -11.525059 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUFSJ" "6416" 2011 NA "Calyptranthes fasciculata" "Zentero, RF" -68.755444 -13.613214 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SP" "316662" 1994 NA "Calyptranthes fasciculata" "Holst, BK" -61.036389 -14.769167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"MO" "MO" "3181517" 1987 NA "Calyptranthes fasciculata" "M.L. Kawasaki" -65.48333 0.3 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto Nacional de Pesquisas da Amazônia (INPA)" "Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)" "26610" 1969 NA "Calyptranthes fasciculata" "McVaugh, R." -60.18 2.416667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3332860" 1994 NA "Calyptranthes fasciculata" "Holst, Bruce K." -58.6167 1.63333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "1776648" 1937 NA "Calyptranthes fasciculata" "Holst, Bruce K." -58.81 5.11 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
