"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01176904" 1986 NA "Calyptranthes forsteri" "B. K. Holst" -63.3333333333333 -8.81666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331276" NA NA "Calyptranthes forsteri" "Holst, B.K." -58.62 -7.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01894938" 1982 NA "Calyptranthes forsteri" "Sem determinador" -62.5333333333333 -7.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0031538" 2014 NA "Calyptranthes forsteri" "Sobral, M." -62.0588888888889 -1.35388888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00865702" 2014 "2015-06-24" "Calyptranthes forsteri" "M.SOBRAL" -62.0591666666667 -1.35444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331278" 1966 NA "Calyptranthes forsteri" "Holst, B.K." -61.87 -6.27 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176903" 1987 NA "Calyptranthes forsteri" "B. K. Holst" -67.0891666666667 -0.130277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000330853" 1986 NA "Calyptranthes forsteri" "Holst, B.K." -63.33 -8.82 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176908" 1966 NA "Calyptranthes forsteri" "B. K. Holst" -59.9280555555556 -2.955 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176909" 1966 NA "Calyptranthes forsteri" "B. K. Holst" -62.2241666666667 -6.94833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331281" 1987 NA "Calyptranthes forsteri" "Kawasaki, M.L." -66.4 -0.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00000254" 2010 NA "Calyptranthes forsteri" "Sobral, M" -64.2158333333333 -9.11583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01176902" 1996 NA "Calyptranthes forsteri" "B. K. Holst" -62.9702777777778 -0.874444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331280" 1982 NA "Calyptranthes forsteri" "Holst, B.K." -62.53 -7.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MIRR" "9429" 2011 NA "Calyptranthes forsteri" "" -60.978722 2.39325 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "MOBOT_BR" "3184124" 1934 NA "Calyptranthes forsteri" "B.K. Holst" -58.62388 -7.42083 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3184745" 1986 NA "Calyptranthes forsteri" "B.K. Holst" -63.33333 -8.81666 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01176901" 1982 NA "Calyptranthes forsteri" "B. K. Holst" -62.533333 -7.75 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
