"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"LAGU" "Herbarium LAGU" "DR-04790" 2014 NA "Calyptranthes hondurensis" "D.Rodríguez (LAGU) 2014-05" -88.07478 13.94394 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "JBL04695" 2003 NA "Calyptranthes hondurensis" "J.Monterrosa (LAGU) 2003" -89.51667 14.38333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "JBL05531" 2006 NA "Calyptranthes hondurensis" "J.Linares (EAP) 2006" -89.01833 14.21972 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "KS-00739" 1999 NA "Calyptranthes hondurensis" "J.L.Linares (EAP) 2002-12" -88.15056 13.97167 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "RAC01048" 2004 NA "Calyptranthes hondurensis" "Boceto NSC 2006-09" -88.1 13.91667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "JBL05534" 2006 NA "Calyptranthes hondurensis" "J.Linares (EAP) 2006" -89.01583 14.22639 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "JMS01301" 2006 NA "Calyptranthes hondurensis" "J.Monterrosa (LAGU) 2006-11" -89 14.23333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "JBL05977" 2006 NA "Calyptranthes hondurensis" "J.Linares (EAP) 2006-10-04" -89.01014 14.23857 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "AM-03809" 2002 NA "Calyptranthes hondurensis" "Boceto NSC 2006-09" -88.10028 13.92972 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "JMS01246" 2006 NA "Calyptranthes hondurensis" "J.Monterrosa (LAGU) 2006-11" -89.01667 14.2 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "RAC00507" 2002 NA "Calyptranthes hondurensis" "J.L.Linares (EAP) 2002-12-20" -89.51667 14.21667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3590029" 2006 NA "Calyptranthes hondurensis" "B.K. Holst (SEL)" -89.016667 14.2 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3404779" 1985 NA "Calyptranthes hondurensis" "J.L. Linares" -88.016667 14.35 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "311914" 1994 NA "Calyptranthes hondurensis" "B.K. Holst & M.L. Kawasaki" -88.328333 14.345 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311834" 1994 NA "Calyptranthes hondurensis" "B.K. Holst (SEL) & M.L. Kawasaki (F)" -86.983333 13.5975 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310012" 1987 NA "Calyptranthes hondurensis" "W.D. Stevens" -90.63333 14.9 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2937276" 1971 NA "Calyptranthes hondurensis" "W.D. Stevens (MO)" -89.29611 15.99916 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2864382" 1976 NA "Calyptranthes hondurensis" "Holst & Kawasaki" -88.66666 17.08333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
