"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "308224" 1984 NA "Calyptranthes hylobates" "W.D. Stevens, 1986 (MO)" -83.55 8.68333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100865420" 2000 NA "Calyptranthes hylobates" "D. Santamaría" -83.521667 9.143611 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NHMUK" "BOT" "BM001172473" 2008 NA "Calyptranthes hylobates" "Warren Douglas (Doug) Stevens; b.1944; W.D.Stevens" -85.18 14.4 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "886356" 1994 NA "Calyptranthes hylobates" "B.K. Holst" -78.566667 9.383333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3588326" 2008 NA "Calyptranthes hylobates" "W.D. Stevens" -85.066667 14.333333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3587457" 2008 NA "Calyptranthes hylobates" "W.D. Stevens" -85.05 14.366667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3587403" 2008 NA "Calyptranthes hylobates" "W.D. Stevens" -85.183333 14.4 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3232682" 1993 NA "Calyptranthes hylobates" "B.K. Holst (SEL)" -84.316667 11.133333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "313903" 1983 NA "Calyptranthes hylobates" "B. Holst" -84.48333 12.43333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309570" 1985 NA "Calyptranthes hylobates" "B.K. Holst" -79.266667 9.3 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309361" 1982 NA "Calyptranthes hylobates" "B.K. Holst (SEL)" -77.683333 7.75 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308935" 1984 NA "Calyptranthes hylobates" "B.K. Holst (SEL)" -84.916667 13.133333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308400" 1984 NA "Calyptranthes hylobates" "B. Holst" -84.48333 11.05 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "307417" 1990 NA "Calyptranthes hylobates" "B.K. Holst & M.L. Kawasaki" -79.5 9.25 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3041651" 2006 NA "Calyptranthes hylobates" "A. Pool" -85.06666 14.51666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2925140" 1951 NA "Calyptranthes hylobates" "" -84.6 11.43333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2862551" 1967 NA "Calyptranthes hylobates" "Holst & Kawasaki" -85.783333 13.033333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2767441" 2005 NA "Calyptranthes hylobates" "A. Pool" -85.05222 14.38472 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2761003" 2005 NA "Calyptranthes hylobates" "A. Pool" -85.063889 14.3725 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2709273" 2005 NA "Calyptranthes hylobates" "A. Pool" -85.16666 14.4 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2275242" 1968 NA "Calyptranthes hylobates" "Rogers McVaugh" -77.838333 7.708333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2274517" 1966 NA "Calyptranthes hylobates" "R. Liesner" -78.15 8.7 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
