"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000330897" NA NA "Calyptranthes karlingii" "Sem determinador" -88.57 18.02 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"MO" "MO" "1440096" 1939 NA "Calyptranthes karlingii" "B.K. Holst & M.L. Kawasaki" -91.49 17.44 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1440107" 1982 NA "Calyptranthes karlingii" "B.K. Holst & M.L. Kawasaki" -88.87 17.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865254" 1991 NA "Calyptranthes karlingii" "Holst & Kawasaki" -89.1 17.53333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2274994" 1992 NA "Calyptranthes karlingii" "" -88.683333 17.85 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2272755" 1976 NA "Calyptranthes karlingii" "" -88.83333 16.43333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2271911" 1975 NA "Calyptranthes karlingii" "J. Dwyer" -88.933333 15.983333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1440108" 1934 NA "Calyptranthes karlingii" "" -88.31305 17.87833 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1440100" 1970 NA "Calyptranthes karlingii" "Lundell" -89.15583 15.8125 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100858353" 1979 NA "Calyptranthes karlingii" "B.K. Holst (SEL)" -88.95 15.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100850807" 1970 NA "Calyptranthes karlingii" "B.K. Holst (SEL)" -89.178889 15.832222 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100766302" 2014 NA "Calyptranthes karlingii" "S.W. Brewer" -88.979722 16.956944 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100595951" 2008 NA "Calyptranthes karlingii" "S.W. Brewer" -88.896667 17.117222 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100572149" 1997 NA "Calyptranthes karlingii" "M. Nee" -88.943611 15.716111 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"F" "Botany" "V0064813F" 1927 NA "Calyptranthes karlingii" "RRC ID Flag" -88.3333 18.25 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-237279/1" NA NA "Calyptranthes karlingii" "Araujo, A. C. & E. Lucas (2011)" -86.61917 14.81917 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K000330896" 1952 NA "Calyptranthes karlingii" "McVaugh, R." -89.02 16.23 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K000330894" 1960 NA "Calyptranthes karlingii" "" -89.65 17.25 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" NA 1997 NA "Calyptranthes karlingii" NA -88.9436111 15.7161111 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1975 NA "Calyptranthes karlingii" NA -88.93333 15.98333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MEXU, MO" NA 1997 NA "Calyptranthes karlingii" NA -89.3152778 17.9127778 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1992 NA "Calyptranthes karlingii" NA -88.68333 17.85 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes karlingii" NA -90.5 15 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes karlingii" NA -88.5 17 NA NA "BIEN" "6_no_criteria_met"
