"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"USF" "Herb" "202433" 1986 NA "Calyptranthes krugii" "" -65.7833 18.2833 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"SNSB-M" "BSMvplantscoll" "M-0137178 / 526244 / 210736" 1885 NA "Calyptranthes krugii" "" -65.871964 18.25436 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "953374" 1971 NA "Calyptranthes krugii" "" -66.05215 18.11363 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "953372" 1950 NA "Calyptranthes krugii" "E. L. Little Jr." -66.591944 18.1725 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "953394" 1986 NA "Calyptranthes krugii" "" -65.78 18.28 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "953444" 1962 NA "Calyptranthes krugii" "" -65.790625 18.310985 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "953442" 1960 NA "Calyptranthes krugii" "A. H. Liogier" -66.076 18.127934 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "819105" 1914 NA "Calyptranthes krugii" "" -65.763906 18.273908 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "953440" 1976 NA "Calyptranthes krugii" "R. O. Woodbury" -66.099886 18.075624 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "953395" 1992 NA "Calyptranthes krugii" "" -66.036478 18.090788 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "953399" 1970 NA "Calyptranthes krugii" "R. O. Woodbury" -66.05246 18.102384 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "953397" 1979 NA "Calyptranthes krugii" "A. H. Liogier" -66.0228 18.103 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "953371" 1962 NA "Calyptranthes krugii" "" -66.52031 18.22033 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "953446" 1983 NA "Calyptranthes krugii" "A. H. Liogier" -66.554167 18.15306 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "819106" 1902 NA "Calyptranthes krugii" "I. Urban" -65.781006 18.296076 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "953373" 1950 NA "Calyptranthes krugii" "E. L. Little Jr." -65.792745 18.295819 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "819110" 1926 NA "Calyptranthes krugii" "" -65.79141 18.31052 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K000330995" 1961 NA "Calyptranthes krugii" "" -65.72 18.37 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K000330994" 1914 NA "Calyptranthes krugii" "" -65.73 18.2 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K000330992" 1992 NA "Calyptranthes krugii" "" -66.1 18.07 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LD" "General" "1223048" 1885 NA "Calyptranthes krugii" "" -65.791111 18.310278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"UConn" "CONN" "CONN00127057" 1967 NA "Calyptranthes krugii" "" -65.77072 18.31566 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes krugii" NA -66.5761 18.1675 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes krugii" NA -65.7697 18.3125 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes krugii" NA -65.8169 18.2706 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes krugii" NA -66.5433 18.2122 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes krugii" NA -65.7922 18.31 NA NA "BIEN" "6_no_criteria_met"
