"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "3184897" 1980 NA "Calyptranthes longifolia" "" -71.36666 -11.9 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "308119" 1985 NA "Calyptranthes longifolia" "B.K. Holst" -74 -5 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308844" 1984 NA "Calyptranthes longifolia" "!Holst" -73.83333 -5.08333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "310283" 1986 NA "Calyptranthes longifolia" "B.K. Holst (MO)" -71.16666 -11.75 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310379" 1982 NA "Calyptranthes longifolia" "!Holst" -75 -10.33333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "310394" 1982 NA "Calyptranthes longifolia" "!Holst" -74.91666 -10.25 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "312312" 1976 NA "Calyptranthes longifolia" "B.K. Holst (MO)" -73.5 -3.86666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3356079" 1997 NA "Calyptranthes longifolia" "Smith, S. F., (US), NMNH" -72.6992 -11.7856 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"F" "Botany" "V0107684F" NA NA "Calyptranthes longifolia" "" -74.14 -9.1839 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-207773/2" NA NA "Calyptranthes longifolia" "" -74.37556 -9.16389 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "807959" 1978 NA "Calyptranthes longifolia" "Bruce K. Holst" -73.75 -8.33333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2702919" 2005 NA "Calyptranthes longifolia" "B. Holst" -68.505833 -15.155278 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K000331466" 1962 NA "Calyptranthes longifolia" "" -77.5 -2.38 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"SALVIAS" NA NA NA NA "Calyptranthes longifolia" NA -69.3264 -12.3973 NA NA "BIEN" "6_no_criteria_met"
"SALVIAS" NA NA NA NA "Calyptranthes longifolia" NA -69.1119 -12.6764 NA NA "BIEN" "6_no_criteria_met"
"SALVIAS" NA NA NA NA "Calyptranthes longifolia" NA -69.2043 -12.4778 NA NA "BIEN" "6_no_criteria_met"
