"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01397521" 2007 NA "Calyptranthes macrophylla" "M. F. Santos" -60.8469444444444 -2.53583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331152" 1969 NA "Calyptranthes macrophylla" "Kawasaki, M.L." -47.77 -1.95 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00004448" 2010 NA "Calyptranthes macrophylla" "Sobral, M" -64.4147222222222 -9.19 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331153" 1933 NA "Calyptranthes macrophylla" "McVaugh, R." -69 -9.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01413952" 1995 "2005-06-06" "Calyptranthes macrophylla" "B. K. Holst" -71.3491666666667 -8.44944444444445 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331155" 1987 NA "Calyptranthes macrophylla" "Kawasaki, M.L." -57.05 -1.07 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01894991" 1933 NA "Calyptranthes macrophylla" "Sem determinador" -69 -9.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "MOBOT_BR" "3184809" 1994 NA "Calyptranthes macrophylla" "B.K. Holst" -71.30222 -8.4275 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1413952" 1995 NA "Calyptranthes macrophylla" "B. K. Holst" -71.3491667 -8.4494444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "229950" 1994 NA "Calyptranthes macrophylla" "B. K. Holst" -71.31483 -8.42317 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "169702" 1987 NA "Calyptranthes macrophylla" "Souza, MAD de" -50.166667 -1 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "189648" 1996 NA "Calyptranthes macrophylla" "Souza, MAD de" -59.966667 -2.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "231086" 1994 NA "Calyptranthes macrophylla" "Holst, BK" -71.314722 -8.423056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "234446" 2009 "2010-05-04" "Calyptranthes macrophylla" "Luize, BG" -62.3965 -4.460381 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "INPA" "234473" 2009 "2010-05-04" "Calyptranthes macrophylla" "Luize, BG" -62.359167 -4.465242 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "INPA" "245039" 2010 NA "Calyptranthes macrophylla" "Sobral, MEG" -64.696667 -9.316944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "269723" 2014 NA "Calyptranthes macrophylla" "Ferreira, MTM" -64.73412 -2.77749 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CEN" "77769" NA NA "Calyptranthes macrophylla" "M. Sobral" -64.696666 -9.3169444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "EAC" "40107" 1987 NA "Calyptranthes macrophylla" "Souza, M.A.D." -50.166667 -0.616667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "338316" 1992 NA "Calyptranthes macrophylla" "Araújo, AC" -67.316667 -15.5 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "338320" 1989 NA "Calyptranthes macrophylla" "Araújo, AC" -65.166667 -16.833333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"MO" "MO" "1419962" 1998 NA "Calyptranthes macrophylla" "A. Prieto & A. Rudas, COL" -67.92972 3.63611 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1438156" 1979 NA "Calyptranthes macrophylla" "B. Holst" -73.5 -3.83333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100634377" 2010 NA "Calyptranthes macrophylla" "" -75.423611 -10.182778 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "307993" 1977 NA "Calyptranthes macrophylla" "B.K. Holst (MO)" -73.26611 -3.74694 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308575" 1989 NA "Calyptranthes macrophylla" "M.L. Kawasaki (NY)" -69.28333 -12.83333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309600" 1991 NA "Calyptranthes macrophylla" "M. Timana (MO)" -69.05 -12.48333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "309842" 1972 NA "Calyptranthes macrophylla" "Bruce K. Holst" -73.60666 -2.4675 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309877" 1988 NA "Calyptranthes macrophylla" "B.K. Holst (MO)" -69.05 -12.54 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310621" 1981 NA "Calyptranthes macrophylla" "J. Miller" -72.91666 -4.13333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "310723" 1988 NA "Calyptranthes macrophylla" "B.K. Holst (MO)" -73.41666 -3.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311033" 1987 NA "Calyptranthes macrophylla" "B.K. Holst (MO)" -70.5 -3.91666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311286" 1986 NA "Calyptranthes macrophylla" "B.K. Holst (MO)" -73.25 -3.58333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311490" 1985 NA "Calyptranthes macrophylla" "James S. Miller" -73.5 -4.16666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "311729" 1989 NA "Calyptranthes macrophylla" "B.K. Holst (MO)" -73.41666 -3.75 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
