"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-58361" 1991 NA "Calyptranthes maxima" "Parra, Carlos" -70.25 -3.783333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3181964" 1980 NA "Calyptranthes maxima" "" -71.36666 -11.9 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "310011" 1986 NA "Calyptranthes maxima" "James S. Miller" -70 -13 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "310791" 1982 NA "Calyptranthes maxima" "J. Miller" -75.41666 -9.66666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3578050" 2008 NA "Calyptranthes maxima" "E. Jaramillo (QCNE)" -77.51666 -1.06666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "332266" 1992 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -76.616667 -0.416667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "314011" 1986 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -77.033333 -0.433333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "313185" 1990 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -76.85 -1.533333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312592" 1985 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -77.6 -1.066667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310981" 1988 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -77.65 -1.083333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308353" 1989 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -77.316667 -0.716667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "307293" 1990 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -77.416667 -1.566667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1749849" 1992 NA "Calyptranthes maxima" "C. Cerón (QAP)" -79.58333 -2.4 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1371179" 1996 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -77.35 -0.483333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1230945" 1997 NA "Calyptranthes maxima" "" -77.66666 -0.96666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1225680" 1993 NA "Calyptranthes maxima" "M.L. Kawasaki & B.K. Holst" -76.533333 -0.516667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"F" "Botany" "V0107944F" NA NA "Calyptranthes maxima" "" -78.1869 -1.4628 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" NA 1991 NA "Calyptranthes maxima" NA -70.25 -3.78333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -73.3408 -11.7797 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1986 NA "Calyptranthes maxima" NA -77.0333333 -0.4333333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -73.6294 -4.8781 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -73.9775 -8.8525 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1988 NA "Calyptranthes maxima" NA -77.6 -1.0666667 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -76.4039 -0.6647 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -69.8117 -12.6597 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -72.5744 -12.1622 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -69.2697 -12.8136 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -76.2078 -0.9419 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -75.7014 -8.4042 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -74.5886 -7.1158 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -74.0914 -2.3786 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO, QCNE" NA 1996 NA "Calyptranthes maxima" NA -77.35 -0.4833333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -75.5217 -0.11 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes maxima" NA -73.8975 -5.2642 NA NA "BIEN" "6_no_criteria_met"
