"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "100858305" 1980 NA "Calyptranthes millspaughii" "B.K. Holst (SEL)" -88.52 18.45 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"IBUNAM" "MEXU" "277197" 1980 NA "Calyptranthes millspaughii" "NO DISPONIBLE" -86.927778 20.852778 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2845757" 1996 NA "Calyptranthes millspaughii" "M. Véliz" -90.29361 17.74638 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2775870" 1980 NA "Calyptranthes millspaughii" "B.K. Holst (SEL) & M.L. Kawasaki (F)" -88.55 18.066667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100858306" 1980 NA "Calyptranthes millspaughii" "B.K. Holst (SEL)" -88.561111 18.218333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K000330913" 1934 NA "Calyptranthes millspaughii" "" -88.28 17.87 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K000330910" 1935 NA "Calyptranthes millspaughii" "Standley, P.C." -90.03 16.05 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"K" "Herbarium" "K000330915" NA NA "Calyptranthes millspaughii" "" -88.38 18.12 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K000330916" NA NA "Calyptranthes millspaughii" "" -88.42 18.02 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes millspaughii" NA -88.5 17 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes millspaughii" NA -90.5 15 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes millspaughii" NA -96.75 17.5 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1980 NA "Calyptranthes millspaughii" NA -86.93 20.85 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
