"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "307142" 1990 NA "Calyptranthes monteverdensis" "B. K. Holst (SEL)" -85.470833 10.929167 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308646" 1985 NA "Calyptranthes monteverdensis" "B.K. Holst" -84.798611 10.3125 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308669" 1988 NA "Calyptranthes monteverdensis" "P.E. Sánchez" -84.8 10.35 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "308701" 1990 NA "Calyptranthes monteverdensis" "F.R. Barrie" -85.427778 10.990556 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308878" 1985 NA "Calyptranthes monteverdensis" "B.K. Holst & M.L. Kawasaki" -84.78888 10.28166 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308936" 1990 NA "Calyptranthes monteverdensis" "F.R. Barrie" -84.8 10.25 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310883" 1991 NA "Calyptranthes monteverdensis" "P.E. Sánchez" -84.83 10.28 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"traits" NA NA NA NA "Calyptranthes monteverdensis" NA -85.4588 10.9326 NA NA "BIEN" "6_no_criteria_met"
"MO" NA NA 2000 NA "Calyptranthes monteverdensis" NA -84.38278 10.288056 NA NA "BIEN" "6_no_criteria_met"
"MO" NA NA 2003 NA "Calyptranthes monteverdensis" NA -85.4599 10.930121 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes monteverdensis" NA -84.7922 10.3019 NA NA "BIEN" "6_no_criteria_met"
"MO" "CR, INB, MO" NA 1996 NA "Calyptranthes monteverdensis" NA -85.46 10.91 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "CR, MO" NA 1985 NA "Calyptranthes monteverdensis" NA -84.7986111 10.3125 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "CR, MO" NA 1991 NA "Calyptranthes monteverdensis" NA -84.8 10.3 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1990 NA "Calyptranthes monteverdensis" NA -85.4277778 10.9905555 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "CR" NA 1976 NA "Calyptranthes monteverdensis" NA -84.79722 10.31388 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes monteverdensis" NA -85.0133 10.6678 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes monteverdensis" NA -85.4794 10.9778 NA NA "BIEN" "6_no_criteria_met"
"MO" "CR, INB, MO" NA 1990 NA "Calyptranthes monteverdensis" NA -84.8 10.31 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes monteverdensis" NA -84.6908 10.4433 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes monteverdensis" NA -85.3303 10.8203 NA NA "BIEN" "6_no_criteria_met"
