"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "SPF" "SPF00113802" 1993 NA "Calyptranthes ovalifolia" "Araújo, AC; Lucas, EJ" -41.51 -13.19 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000330833" 1994 NA "Calyptranthes ovalifolia" "Proen  a, C.E" -47.43 -14.03 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "SPF" "SPF00091080" 1992 NA "Calyptranthes ovalifolia" "Rosa, PO" -41.9 -13.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00112153" 1993 NA "Calyptranthes ovalifolia" "Rosa, PO" -41.85 -13.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331106" 1986 NA "Calyptranthes ovalifolia" "Barroso, G.M." -43.78 -20.27 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "BHCB" "68553" 2002 NA "Calyptranthes ovalifolia" "" -43.436361 -19.885556 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SPF" "113802" 1993 NA "Calyptranthes ovalifolia" "Araújo, AC; Lucas, EJ" -41.85 -13.316667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "85135" 1992 NA "Calyptranthes ovalifolia" "Rosa, PO" -41.25 -13.533333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "90575" 1991 NA "Calyptranthes ovalifolia" "Rosa, PO" -41.833333 -13.3 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"ntt" NA NA NA NA "Calyptranthes ovalifolia" NA -47.5572 -14.6942 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes ovalifolia" NA -47.3811 -13.7078 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes ovalifolia" NA -47.4567 -14.6967 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes ovalifolia" NA -47.6028 -14.1533 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes ovalifolia" NA -47.5319 -14.1483 NA NA "BIEN" "6_no_criteria_met"
