"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "1401749" 1990 NA "Calyptranthes pallens" "F.R. Barrie" -85.47 10.92 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1401982" 1994 NA "Calyptranthes pallens" "P. Sánchez" -84.75 10.43 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1402025" 1995 NA "Calyptranthes pallens" "P. Sánchez" -85.4 10.88 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1440124" 1986 NA "Calyptranthes pallens" "P. Simá" -88.82 20.54 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1440120" 1980 NA "Calyptranthes pallens" "" -87.46 20.89 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "307766" 1991 NA "Calyptranthes pallens" "B.K. Holst (SEL)" -85.408333 11.033333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "307817" 1990 NA "Calyptranthes pallens" "F. Barrie" -84.13 10.12 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308583" 1986 NA "Calyptranthes pallens" "B.K. Holst" -84.833333 10.333333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308604" 1988 NA "Calyptranthes pallens" "P. Sánchez, III/" -84.8 10.35 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "308709" 1990 NA "Calyptranthes pallens" "B.K. Holst (SEL)" -85.470833 10.929167 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308786" 1989 NA "Calyptranthes pallens" "F.R. Barrie" -85.48638 10.92722 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308891" 1985 NA "Calyptranthes pallens" "W.D. Stevens" -84.83333 10.33333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "309036" 1989 NA "Calyptranthes pallens" "F.R. Barrie" -84.8 10.25 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309330" 1990 NA "Calyptranthes pallens" "F. R. Barrie" -83.84 10.07 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309367" 1989 NA "Calyptranthes pallens" "P. Sánchez, VII/" -85.4 11.03 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "309375" 1989 NA "Calyptranthes pallens" "P. Sánchez, XI/" -85.48 10.92 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "310069" 1987 NA "Calyptranthes pallens" "F. Barrie" -84.71666 10.33333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310634" 1989 NA "Calyptranthes pallens" "B. K. Holst (SEL)" -85.493333 10.96 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310727" 1989 NA "Calyptranthes pallens" "F.R. Barrie" -84.1 10.13 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "310742" 1989 NA "Calyptranthes pallens" "B. K. Holst (SEL)" -85.45 10.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311070" 1989 NA "Calyptranthes pallens" "B.K. Holst (SEL)" -83.138333 9.788889 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311087" 1989 NA "Calyptranthes pallens" "F.R. Barrie" -82.96 9.5 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311492" 1991 NA "Calyptranthes pallens" "B. K. Holst (SEL)" -85.283333 10.736111 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862682" 1971 NA "Calyptranthes pallens" "F.R. Barrie" -83.98333 9.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862681" 1986 NA "Calyptranthes pallens" "F.R. Barrie" -83.9 9.79 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862683" 1890 NA "Calyptranthes pallens" "F.R. Barrie" -84.11666 10.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863065" 1932 NA "Calyptranthes pallens" "F.R. Barrie" -84.1 10.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863064" 1991 NA "Calyptranthes pallens" "F.R. Barrie" -85.47083 10.92916 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863063" 1937 NA "Calyptranthes pallens" "F.R. Barrie" -84.38111 10.21166 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863322" 1998 NA "Calyptranthes pallens" "Holst & Kawasaki" -85.35277 10.77777 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2863423" 1975 NA "Calyptranthes pallens" "F.R. Barrie" -84.11916 10.10305 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863726" 1932 NA "Calyptranthes pallens" "F.R. Barrie" -83.93805 9.83722 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863727" 1984 NA "Calyptranthes pallens" "F.R. Barrie" -84.0425 9.83888 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863836" 1932 NA "Calyptranthes pallens" "F.R. Barrie" -83.85 9.65 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863837" 1919 NA "Calyptranthes pallens" "F.R. Barrie" -84.16 10.03833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
