"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01418602" 1933 NA "Calyptranthes paniculata" "R. McVaugh" -70.25 -7.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331291" 1933 NA "Calyptranthes paniculata" "McVaugh, R." -69 -9.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418601" 1982 NA "Calyptranthes paniculata" "M. L. Kawasaki" -60.0916666666667 -2.32666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01895014" 1933 NA "Calyptranthes paniculata" "R. McVaugh" -69 -9.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00662834" 1995 "2002-06-06" "Calyptranthes paniculata" "M. L. Kawasaki" -68.1413888888889 -9.72861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418600" 1969 NA "Calyptranthes paniculata" "B. K. Holst" -64.37 4.05 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00981784" 2014 NA "Calyptranthes paniculata" "M.SOBRAL" -56.1911111111111 -1.58305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01418601" 1982 NA "Calyptranthes paniculata" "M. L. Kawasaki" -60.0917441 -2.326638 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "191248" 1997 NA "Calyptranthes paniculata" "Araújo, AC" -59.966667 -2.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "238515" 2010 NA "Calyptranthes paniculata" "Sobral, MEG; Souza, MAD de" -64.60875 -6.68468 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "260768" 2014 NA "Calyptranthes paniculata" "Sobral, MEG; Souza, MAD de" -66.187194 -8.862917 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "26890" 1969 NA "Calyptranthes paniculata" "Holst, BK" -64.366667 4.05 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "F_BOTANY_BR" "V0348855F" 1933 NA "Calyptranthes paniculata" "RRC ID Flag" -70 -9 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"MO" "MO" "3182218" 1933 NA "Calyptranthes paniculata" "B.A.K." -69 -9.33333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NHMUK" "BOT" "BM000645056" NA NA "Calyptranthes paniculata" "" -74.375627 -9.163761 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"F" "Botany" "V0064848F" NA NA "Calyptranthes paniculata" "" -74.14 -9.1839 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"USP" "SPF" "214687" 2009 NA "Calyptranthes paniculata" "Santos, MF" -62.576389 -7.728417 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"G" "Geneva Herbarium – General Collection (G)" "G-G-208500/2" NA NA "Calyptranthes paniculata" "McVaugh, R." -74.37556 -9.16389 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto Nacional de Pesquisas da Amazônia (INPA)" "Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)" "175892" 1989 NA "Calyptranthes paniculata" "Kawasaki, M.L." -59.85 -2.416667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto Nacional de Pesquisas da Amazônia (INPA)" "Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)" "231729" 2009 NA "Calyptranthes paniculata" "Araújo, A.C." -62.49 -4.252056 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3579719" 2005 NA "Calyptranthes paniculata" "M.A. Chinchero (QCNE)" -77.58333 -0.58333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "310710" 1991 NA "Calyptranthes paniculata" "B.K. Holst (SEL)" -77.6 -0.083333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2380277" 2004 NA "Calyptranthes paniculata" "" -76.15194 -0.09777 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO, QCNE" NA 2003 NA "Calyptranthes paniculata" NA -77.80583 -2.97888 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -64.8508 -3.0575 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -68.8106 -9.7217 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -74.9258 -9.3567 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -62.2197 2.7625 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -60.4236 1.2183 NA NA "BIEN" "6_no_criteria_met"
"SALVIAS" NA NA NA NA "Calyptranthes paniculata" NA -68.8016 -12.4706 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -74.4925 -2.5861 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -69.4147 -1.4144 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -74.8253 -2.8064 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -63.1825 -5.5889 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -59.2564 -1.7975 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -59.4011 -2.8072 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1991 NA "Calyptranthes paniculata" NA -77.6 -0.08333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -75.1258 -2.1042 NA NA "BIEN" "6_no_criteria_met"
"NY" "NY" NA 1982 NA "Calyptranthes paniculata" NA -60.083333 -2.316667 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -59.9294 -2.9694 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -60.7078 -3.4561 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -70.9264 -12.2603 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -72.7781 -11.8619 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -59.9983 -2.5394 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -61.7183 0.4608 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -71.3394 -11.8592 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -69.9353 -7.6647 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -77.205 -2.4914 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -68.4986 -9.2108 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -72.9175 -2.7928 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -73.7197 -1.6789 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -71.2061 -11.9786 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -59.7211 -2.4444 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -69.2594 -8.7492 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -73.4231 -3.8875 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -76.2197 -0.9042 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -76.055 -0.5281 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes paniculata" NA -72.6756 0.5925 NA NA "BIEN" "6_no_criteria_met"
