"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01418609" 1960 NA "Calyptranthes pullei" "R. McVaugh" -51.88 3.8 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01895257" 1983 NA "Calyptranthes pullei" "B.K. Holst" -57.9166666666667 -4.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01895258" 1983 NA "Calyptranthes pullei" "B.K. Holst" -57.6666666666667 -4.41666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01895020" 1960 NA "Calyptranthes pullei" "R. McVaugh" -51.8833333333333 3.8 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3183854" 1983 NA "Calyptranthes pullei" "Bruce K. Holst" -57.66666 -4.41666 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "US" "3326603" 1983 NA "Calyptranthes pullei" "" -57.67 -4.42 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"Herbario Amazónico Colombiano" "COAH" "66884" NA NA "Calyptranthes pullei" "Salinas, N.R." -67.952892 3.925522 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "02742458" 1989 NA "Calyptranthes pullei" "B. K. Holst" -64.92 7 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3230177" 1989 NA "Calyptranthes pullei" "Holst, Bruce K." -59 6.66667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3332875" 1993 NA "Calyptranthes pullei" "Holst, Bruce K." -58.55 6.33333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3400616" 1994 NA "Calyptranthes pullei" "Holst, Bruce K." -58.6825 4.67528 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3234831" 1989 NA "Calyptranthes pullei" "Holst, Bruce K." -64.91 7 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3344827" 1995 NA "Calyptranthes pullei" "Holst, Bruce K." -58.2458 4.86083 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
