"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS182920" NA NA "Calyptranthes restingae" "C.PROENÇA, J.E.Q.FARIA e M.IBRAHIM" -39.0202777777778 -16.3627777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS193885" NA NA "Calyptranthes restingae" "M.Santos" -39.0147222222222 -14.9752777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA054087" NA NA "Calyptranthes restingae" "Santos, M.F." -39.0508333333333 -15.27 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS169074" NA NA "Calyptranthes restingae" "M.Sobral" -39.0091666666667 -15.3391666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEPEC" "124162" NA NA "Calyptranthes restingae" "A. R. Lourenço" -39.051389 -15.272222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ALCB" "97292" 2010 NA "Calyptranthes restingae" "Guedes, ML" -38.916667 -12.766667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"JABOT" "RB" "480301" 2006 NA "Calyptranthes restingae" "M.Sobral" -39.0513888888889 -15.2722222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"UEFS" "HUEFS" "193885" 2006 NA "Calyptranthes restingae" "" -39.014722 -14.975278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -37.8164 -12.2864 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -37.0131 -10.8868 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -39.0067 -14.2617 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -37.3301 -11.4123 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -38.9403 -13.4142 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -39.0022 -15.0233 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -38.9819 -14.1011 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -38.9839 -15.3597 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Calyptranthes restingae" NA -39.0686 -14.7078 NA NA "BIEN" "6_no_criteria_met"
