"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB31937" 2015 "2015-03-20" "Calyptranthes tricona" "Oliveira, AA de" -50.04 -26.73 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB31939" 2009 "2009-03-17" "Calyptranthes tricona" "Sobral, M" -52.4213888888889 -27.2227777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB31940" 2009 "2009-07-17" "Calyptranthes tricona" "Sobral, M" -53.5088888888889 -27.0883333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB31938" 2009 NA "Calyptranthes tricona" "Sobral, M" -53.7758333333333 -27.1352777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02401" 2009 "2010-01-25" "Calyptranthes tricona" "Sobral, M" -49.0477777777778 -26.1925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB59665" 2018 "2018-06-06" "Calyptranthes tricona" "Kassner-Filho, A." -49.0491666666667 -28.2594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB31943" 2009 "2009-07-17" "Calyptranthes tricona" "Sobral, M" -52.4705555555556 -27.1780555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB53969" 2017 "2017-08-31" "Calyptranthes tricona" "Oliveira, A. A." -50.0477777777778 -26.7325 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01895042" 1964 NA "Calyptranthes tricona" "Sem determinador" -53.7833333333333 -27.1166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00561643" 1958 NA "Calyptranthes tricona" "C. M. D. E. Legrand" -49.6430555555556 -27.2144444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561644" 1956 NA "Calyptranthes tricona" "C. M. D. E. Legrand" -48.9411111111111 -26.7486111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561645" 1964 NA "Calyptranthes tricona" "C. M. D. E. Legrand" -51.85 -27.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "561643" 1958 NA "Calyptranthes tricona" "C. M. D. E. Legrand" -49.6431 -27.2144 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "561644" 1956 NA "Calyptranthes tricona" "C. M. D. E. Legrand" -48.941177 -26.748537 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SORO" "4360" 2009 NA "Calyptranthes tricona" "" -53.775833 -27.135278 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "9097" 1992 NA "Calyptranthes tricona" "" -53.25 -27.1833 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "FURB" "2401" 2009 "2010-01-25" "Calyptranthes tricona" "Sobral, M" -49.0477777 -26.1925 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "31938" 2009 "2009-03-01" "Calyptranthes tricona" "Sobral, M" -53.7758334 -27.1352777 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "31939" 2009 "2009-03-17" "Calyptranthes tricona" "Sobral, M" -52.4213889 -27.2227778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "31940" 2009 "2009-07-17" "Calyptranthes tricona" "Sobral, M" -53.5088889 -27.0883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "31943" 2009 "2009-07-17" "Calyptranthes tricona" "Sobral, M" -52.4705556 -27.1780556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "53969" 2017 "2017-08-31" "Calyptranthes tricona" "Oliveira, A. A." -50.0477777 -26.7325 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
