"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"USF" "Herb" "280139" 2015 NA "Calyptranthes zuzygium" "" -77.3944 18.1997 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"FLAS" "" "234407" 2008 NA "Calyptranthes zuzygium" "" -80.268333 25.675 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"US" "Botany" "3367015" 1997 NA "Calyptranthes zuzygium" "Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)" -77.55 18.42 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"US" "Botany" "3009583" 1983 NA "Calyptranthes zuzygium" "" -77.5 18.08 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3152642" 1999 NA "Calyptranthes zuzygium" "" -70.76666 19.81666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3150264" 1992 NA "Calyptranthes zuzygium" "J. Salazar" -71.56666 19.5 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2484444" 1983 NA "Calyptranthes zuzygium" "L.R. Landrum" -77.5 18.05 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100787497" 2008 NA "Calyptranthes zuzygium" "" -80.2683 25.675 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "1435009" 1982 NA "Calyptranthes zuzygium" "" -69.5 19.08 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946211" 1966 NA "Calyptranthes zuzygium" "" -66.595833 18.443333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "1435020" 1980 NA "Calyptranthes zuzygium" "" -68.9 18.42 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
