"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0023482" 1967 NA "Campomanesia adamantium" "M.Sobral" -47.5833333333333 -22.6186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0004004" 1975 NA "Campomanesia adamantium" "L.R.Landrum" -49.0591666666667 -25.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FLOR" "FLOR0061185" 2013 NA "Campomanesia adamantium" "Lima, D.F." -50.0147222222222 -24.47 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02402" 2010 "2010-11-25" "Campomanesia adamantium" "Gasper, AL de" -49.9936111111111 -25.24 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00567250" 1990 "1998-04-01" "Campomanesia adamantium" "A. Uhlmann" -49.68 -24.23 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01317467" 2016 NA "Campomanesia adamantium" "M.SOBRAL" -42.6930555555556 -16.3316666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01890095" 1982 NA "Campomanesia adamantium" "Sem determinador" -43.6666666666667 -19.25 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES025098" 2013 "2016-01-04" "Campomanesia adamantium" "M.Ibrahim" -43.7066666666667 -19.0675 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016539" 2010 "2011-08-25" "Campomanesia adamantium" "D.F. Lima" -50.24 -24.595 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01890069" 1965 NA "Campomanesia adamantium" "Sem determinador" -49 -16 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01049253" 2015 NA "Campomanesia adamantium" "M.SOBRAL" -43.3625 -18.1269444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS185286" NA NA "Campomanesia adamantium" "J.E.Q.Faria" -43.4738888888889 -20.1055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000023323" 2013 NA "Campomanesia adamantium" "E. Barboza" -50.2736111111111 -24.6313888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579558" 1971 NA "Campomanesia adamantium" "L. R. Landrum" -49.8497222222222 -26.0722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01063565" 2015 NA "Campomanesia adamantium" "J.E.Q.Faria" -44.1963888888889 -17.7486111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS173165" NA NA "Campomanesia adamantium" "C.Proenca" -47.9333333333333 -15.8833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00818303" 1965 NA "Campomanesia adamantium" "L. R. Landrum" -48.8086111111111 -16.0319444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS156664" NA NA "Campomanesia adamantium" "M.L.Kawasaki" -45.95 -15.5833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00974782" 2014 "2016-01-04" "Campomanesia adamantium" "M.IBRAHIM" -43.9 -19.95 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579551" 1982 NA "Campomanesia adamantium" "L. R. Landrum" -50.0063888888889 -25.4294444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES025156" 2009 NA "Campomanesia adamantium" "J.E.Q. Faria Júnior" -43.7427777777778 -18.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00567249" 1982 NA "Campomanesia adamantium" "L. R. Landrum" -49.25 -25.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CEN" "CEN00014530" 1990 NA "Campomanesia adamantium" "Sem determinador" -48.3333333333333 -15.4166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
