"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ALCB" "ALCB027336" 2016 NA "Campomanesia dichotoma" "Guedes, ML" -37.9333333333333 -11.7833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0016926" 2003 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -36.7994444444444 -10.5480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0017237" 2003 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -35.8855555555556 -9.75166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045613" 2010 "2010-01-28" "Campomanesia dichotoma" "E.C.O.Chagas" -36.4022222222222 -9.62055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0009133" 1996 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0013599" 2001 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -35.1666666666667 -7.70194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0040979" 2009 "2009-04-29" "Campomanesia dichotoma" "E.C.O.Chagas" -36.5 -9.45194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0017096" 2002 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -37.1052777777778 -10.2147222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0006647" 1987 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -36.4972222222222 -10.1841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022513" 2005 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -36.5911111111111 -10.5147222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045454" 2010 "2010-01-22" "Campomanesia dichotoma" "E.C.O.Chagas" -37.0833333333333 -10.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0047768" 2009 NA "Campomanesia dichotoma" "Sem determinador" -37.7852777777778 -11.0591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0034223" 2008 NA "Campomanesia dichotoma" "M.N.Rodrigues" -36.5 -10.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0030004" 2007 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -36.6186111111111 -9.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045430" 2010 "2010-01-21" "Campomanesia dichotoma" "E.C.O.Chagas" -36.3925 -9.97583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0016360" 2002 NA "Campomanesia dichotoma" "R.P.Lyra-Lemos" -36.2763888888889 -10.0572222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0039655" 2006 NA "Campomanesia dichotoma" "C.Proença" -37.5833333333333 -10.9758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022172" 2005 NA "Campomanesia dichotoma" "R.P.Lyra-Lemos" -36.2852777777778 -10.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0051453" 2009 NA "Campomanesia dichotoma" "B.S.Amorim" -35.5 -8.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0015301" 2002 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -36.5591666666667 -10 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0039590" 2009 NA "Campomanesia dichotoma" "M.C.S.Mota" -35.7258333333333 -9.41666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0046774" 1995 NA "Campomanesia dichotoma" "C.Proença" -37.8333333333333 -11.5591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0008626" 1994 "2009-02-17" "Campomanesia dichotoma" "E.C.O.Chagas" -36.8091666666667 -10.0591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0032286" 2008 NA "Campomanesia dichotoma" "M.C.S.Mota" -35.9369444444444 -9.89138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0049197" 2010 "2010-08-22" "Campomanesia dichotoma" "E.C.O.Chagas" -37.6425 -10.6186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUENF" "HUENF00000797" 1996 "2017-11-29" "Campomanesia dichotoma" "Souza, M.C." -41.0944444444444 -21.3913888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0000014" 2013 "2013-07-20" "Campomanesia dichotoma" "Gomes, LA" -37.2602777777778 -11.2222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS182690" NA NA "Campomanesia dichotoma" "M.Ibrahim" -35.5797222222222 -6.88638888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UFRN" "UFRN00022536" 2016 NA "Campomanesia dichotoma" "Sem determinador" -35.2008333333333 -5.8425 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0019328" 2005 NA "Campomanesia dichotoma" "Sem determinador" -36.1755555555556 -10.1255555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0017241" 1998 NA "Campomanesia dichotoma" "Proença, C" -36.5122222222222 -10.4416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS189503" NA NA "Campomanesia dichotoma" "M.Sobral" -35.7597222222222 -7.07861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS081416" NA NA "Campomanesia dichotoma" "Sem determinador" -35.1630555555556 -6.73083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00585399" 1994 NA "Campomanesia dichotoma" "L. R. Landrum" -37.4291666666667 -11.3611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0028479" 2011 NA "Campomanesia dichotoma" "Proença, C" -37.2555555555556 -11.2205555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182732" NA NA "Campomanesia dichotoma" "M.Ibrahim" -35.5825 -6.86583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0027872" 2011 NA "Campomanesia dichotoma" "Proença, C" -37.0313888888889 -10.3211111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0028951" 2012 NA "Campomanesia dichotoma" "Santos, LAS" -37.3927777777778 -11.2225 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UFRN" "UFRN00021797" 2014 "2015-02-25" "Campomanesia dichotoma" "Delgado Junior, G.C." -39.46 -5.94 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0020717" NA "2010-07-01" "Campomanesia dichotoma" "Amorim, BS" -37.1836111111111 -10.5952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0003828" 2014 NA "Campomanesia dichotoma" "Proença, C; Silva, ACC" -37.4558333333333 -11.2861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS188806" NA NA "Campomanesia dichotoma" "J.E.Q.Faria e M.Ibrahim" -37.6019444444444 -11.8908333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000018432" 1914 NA "Campomanesia dichotoma" "L.R.Landrum" -35.23 -6.08 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS081419" NA NA "Campomanesia dichotoma" "Sem determinador" -35.1816666666667 -6.71972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0022292" 2009 NA "Campomanesia dichotoma" "Proença, C" -36.5625 -10.3536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0027932" 2010 "2010-05-24" "Campomanesia dichotoma" "Marroquim, PMG" -36.3627777777778 -10.1727777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0029232" 2012 NA "Campomanesia dichotoma" "Gomes, LA" -36.37 -10.3308333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0031871" 2012 "2014-04-25" "Campomanesia dichotoma" "Oliveira, EVS" -36.4636111111111 -10.4013888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0014672" 1983 "2008-02-18" "Campomanesia dichotoma" "M.Ibrahim" -37.0452777777778 -10.4416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ALCB" "ALCB033350" 2016 NA "Campomanesia dichotoma" "Guedes, ML" -37.6 -11.8 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0016537" 1995 NA "Campomanesia dichotoma" "Proença, C" -37.2533333333333 -11.2266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0003058" 2014 "2014-08-22" "Campomanesia dichotoma" "Gemano, MFS" -37.1916666666667 -10.5311111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0019171" 1987 NA "Campomanesia dichotoma" "Ibrahim, M" -35.895 -9.71027777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561459" 1995 NA "Campomanesia dichotoma" "M. L. Kawasaki" -35.5 -7.58333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0003794" 2014 "2015-05-27" "Campomanesia dichotoma" "Proença, C" -37.1852777777778 -10.4527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579660" 1981 NA "Campomanesia dichotoma" "M. I. U. de Oliveira" -39.2275 -14.7719444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0016360" 1994 "2008-02-18" "Campomanesia dichotoma" "M.Ibrahim" -37.2544444444444 -11.2138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01209410" 2015 NA "Campomanesia dichotoma" "M.SOBRAL" -35.2458333333333 -5.87361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0003288" 2014 NA "Campomanesia dichotoma" "Proença, C; Silva, BD" -37.1222222222222 -11.0052777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000277041" 2005 NA "Campomanesia dichotoma" "Proen  a, C." -39.08 -12.23 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0032044" 2013 "2013-06-04" "Campomanesia dichotoma" "Gomes, LA" -37.2544444444444 -11.2238888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS108111" NA NA "Campomanesia dichotoma" "Sem determinador" -38.4016666666667 -10.2491666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00749678" 1997 NA "Campomanesia dichotoma" "M. I. U. de Oliveira" -39.17 -14.8 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0028697" 2012 NA "Campomanesia dichotoma" "Proença, C" -37.2486111111111 -11.2277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0022116" 2009 "2010-07-01" "Campomanesia dichotoma" "Amorim, BS" -37.2827777777778 -11.0155555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS094058" NA NA "Campomanesia dichotoma" "L.Landrum" -38.0744444444444 -12.2327777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0032994" 2015 "2015-09-03" "Campomanesia dichotoma" "Freire, GS" -37.4327777777778 -11.0408333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0035720" 2015 NA "Campomanesia dichotoma" "Proença, C" -37.1944444444444 -11.0427777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01209371" 2011 NA "Campomanesia dichotoma" "M.SOBRAL" -35.2077777777778 -5.71111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00897345" 2014 NA "Campomanesia dichotoma" "Sem determinador" -35.2 -5.7 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS095468" NA NA "Campomanesia dichotoma" "L.Landrum" -39.0763888888889 -12.2327777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0000551" 2013 "2013-01-08" "Campomanesia dichotoma" "Ferreira, ES" -36.4230555555555 -10.3647222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00594864" 1993 NA "Campomanesia dichotoma" "M. I. U. de Oliveira" -39.0752777777778 -15.2933333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CEPEC" "CEPEC00128425" 2010 NA "Campomanesia dichotoma" "Sem determinador" -39.5661111111111 -15.3958333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS189189" NA NA "Campomanesia dichotoma" "M.Sobral" -35.7091666666667 -6.96944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS120045" NA NA "Campomanesia dichotoma" "M.Ibrahim" -39.1838888888889 -12.1616666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS134007" NA NA "Campomanesia dichotoma" "E.P.Queiroz" -35.2311111111111 -5.59277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0026323" 2009 "2009-07-10" "Campomanesia dichotoma" "Amorim, BS" -35.0161111111111 -7.4725 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0027216" 2011 NA "Campomanesia dichotoma" "Proença, C" -37.2511111111111 -11.2338888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0029245" 2012 NA "Campomanesia dichotoma" "Proença, C" -36.3655555555556 -10.315 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE000236" 2014 "2014-04-10" "Campomanesia dichotoma" "Freire, GS" -37.39 -10.8972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS148071" NA NA "Campomanesia dichotoma" "Sem determinador" -39.0961111111111 -12.2588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY02103546" 2013 "2013-06-04" "Campomanesia dichotoma" "L.A. Gomes" -37.4294444444444 -11.3772222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0029410" 2012 NA "Campomanesia dichotoma" "Proença, C" -37.2586111111111 -11.2425 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0000471" 2012 "2012-07-31" "Campomanesia dichotoma" "Oliveira, EVS" -36.4947222222222 -10.4158333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0004931" 2014 NA "Campomanesia dichotoma" "Proença, C; Silva, BD" -37.5952777777778 -11.1102777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0038819" 2015 "2015-05-13" "Campomanesia dichotoma" "Santana, JP" -37.1341666666667 -10.8386111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS176265" NA NA "Campomanesia dichotoma" "B.S.Amorim" -35.0094444444444 -7.84305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0032511" 2013 NA "Campomanesia dichotoma" "Campos, DA" -37.0608333333333 -10.1522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0029500" 2012 NA "Campomanesia dichotoma" "Proença, C" -37.2533333333333 -11.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01357813" 2016 "2017-03-30" "Campomanesia dichotoma" "M. C. Souza" -37.9327777777778 -11.4847222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000018434" NA NA "Campomanesia dichotoma" "L.R.Landrum" -40.02 -13.02 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0001574" 2012 NA "Campomanesia dichotoma" "Sem determinador" -37.0316666666667 -10.3213888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01008282" 2014 "2016-01-04" "Campomanesia dichotoma" "M.IBRAHIM" -36 -9 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY1738143" 2011 "2011-03-30" "Campomanesia dichotoma" "L.A. Gomes" -37.0538888888889 -10.5361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0029192" 2012 NA "Campomanesia dichotoma" "Proença, C" -36.4802777777778 -10.4052777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ALCB" "ALCB040291" 2016 NA "Campomanesia dichotoma" "Guedes, ML" -39.4666666666667 -4.53333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "G" "G00227625" NA "1993-01-01" "Campomanesia dichotoma" "Gautier, L." -42.9125 -22.48222222 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CEPEC" "105729" NA NA "Campomanesia dichotoma" "M. Ibrahim" -37.728611 -12.035278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "107562" NA NA "Campomanesia dichotoma" "M. Ibrahim" -37.744722 -12.018889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "128425" 2010 NA "Campomanesia dichotoma" "" -39.566111 -15.395833 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CEPEC" "61695" NA NA "Campomanesia dichotoma" "M. Ibrahim" -37.429167 -11.361111 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEPEC" "64256" NA NA "Campomanesia dichotoma" "A. M. Amorim" -39.069167 -14.781944 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CEPEC" "75862" NA NA "Campomanesia dichotoma" "M. Sobral" -39.166667 -14.8 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NHM-LONDON-BOT" "BM000796869" NA NA "Campomanesia dichotoma" "C. Proenca" -38.194244 -8.376025 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "BHZB" "7397" 2008 NA "Campomanesia dichotoma" "R.C. Mota" -44.04725 -19.85725 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MOSS" "5820" 1994 NA "Campomanesia dichotoma" "Costa-Lima, J.L." -35.209444 -5.795 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "100605324" 2012 NA "Campomanesia dichotoma" "B.S. Amorim" -36.4305556 -9.2544444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "02103546" 2013 NA "Campomanesia dichotoma" "L.A. Gomes" -37.4294 -11.3772 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "561459" 1995 NA "Campomanesia dichotoma" "M. L. Kawasaki" -35.5 -7.5833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "579660" 1981 NA "Campomanesia dichotoma" "M. I. U. de Oliveira" -39.2273659 -14.771874 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "585399" 1994 NA "Campomanesia dichotoma" "L. R. Landrum" -37.4292 -11.3611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "594864" 1993 NA "Campomanesia dichotoma" "M. I. U. de Oliveira" -39.0753 -15.2933 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "251891" 2010 NA "Campomanesia dichotoma" "" -35.011361 -7.834389 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HUNEB" "5722" 1992 NA "Campomanesia dichotoma" "" -38.42 -12.951667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "PEUFR" "24795" 1995 "2009-08-03" "Campomanesia dichotoma" "B.S. Amorim" -35.5 -7.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "JPB" "18155" 1991 NA "Campomanesia dichotoma" "" -35.125833 -6.838889 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "JPB" "26144" 2000 NA "Campomanesia dichotoma" "" -35.142056 -6.741861 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "JPB" "28432" 2000 NA "Campomanesia dichotoma" "" -35.2325 -7.096389 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "JPB" "31498" 2003 NA "Campomanesia dichotoma" "" -35.674722 -6.472222 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "JPB" "31636" 2003 NA "Campomanesia dichotoma" "Barbosa, MR" -35.741667 -6.558333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
