"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0027938" 2010 NA "Campomanesia eugenioides" "Proença, C" -36.3627777777778 -10.1727777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0015538" 1997 NA "Campomanesia eugenioides" "Sem determinador" -40.6425 -13.2019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0054713" 2012 NA "Campomanesia eugenioides" "M.Sobral" -38.5669444444444 -9.43555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0015682" 1996 NA "Campomanesia eugenioides" "P.P. de Oliveira" -40.1666666666667 -13.1666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0017735" 2003 NA "Campomanesia eugenioides" "E.C.O.Chagas" -36.4544444444444 -10.03 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0037011" 2009 NA "Campomanesia eugenioides" "E.C.O.Chagas" -37 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0014381" 2001 NA "Campomanesia eugenioides" "E.C.O.Chagas" -37.7491666666667 -8.94333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0013090" 2000 NA "Campomanesia eugenioides" "E.C.O.Chagas" -37.4766666666667 -9.71638888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0007907" 1990 NA "Campomanesia eugenioides" "E.C.O.Chagas" -37.0091666666667 -10.6183333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0050374" 2010 "2010-11-13" "Campomanesia eugenioides" "E.C.O.Chagas" -36.8091666666667 -10.0591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045467" 2010 "2010-01-22" "Campomanesia eugenioides" "E.C.O.Chagas" -37.0833333333333 -10.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0030234" 2007 "2016-11-23" "Campomanesia eugenioides" "M.Figueira; B.Schindler" -37.9966666666667 -9.23805555555555 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
