"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0028131" 2010 NA "Campomanesia ilhoensis" "Proença, C" -36.5625 -10.3536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0046775" 1996 NA "Campomanesia ilhoensis" "C.Proença" -37.8333333333333 -11.5591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0017350" 2003 NA "Campomanesia ilhoensis" "E.C.O.Chagas" -36.2763888888889 -10.0572222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057250" 2014 NA "Campomanesia ilhoensis" "Sem determinador" -36.71 -9.44055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0023764" 2010 NA "Campomanesia ilhoensis" "Proença, C" -37.2533333333333 -11.2266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0017326" 1997 NA "Campomanesia ilhoensis" "Imbrahim, M" -37.2080555555556 -10.4583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0016540" 1995 NA "Campomanesia ilhoensis" "Ibrahim, M" -37.2533333333333 -11.2266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0017476" 1997 NA "Campomanesia ilhoensis" "Proença, C" -37.2652777777778 -11.2102777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182494" NA NA "Campomanesia ilhoensis" "A.V.Popovkin" -38.05 -12.0166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0032490" 2013 "2013-06-18" "Campomanesia ilhoensis" "Santos, JPS" -37.0836111111111 -10.5036111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0015143" 1985 NA "Campomanesia ilhoensis" "Ibrahim, M" -37.0997222222222 -10.9255555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579718" 1993 NA "Campomanesia ilhoensis" "L. R. Landrum" -37.4480555555556 -11.3508333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS158442" NA NA "Campomanesia ilhoensis" "A.V.Popovkin" -38.0333333333333 -12.0166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0002199" 2014 "2014-04-09" "Campomanesia ilhoensis" "Santana, JP" -37.0802777777778 -10.5019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0026069" 2000 NA "Campomanesia ilhoensis" "Sem determinador" -37.1816666666667 -10.3927777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0017028" 1996 NA "Campomanesia ilhoensis" "Ibrahim, M" -37.0619444444444 -10.5533333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02103943" 2014 NA "Campomanesia ilhoensis" "Sem determinador" -36.4194444444444 -9.25861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0016306" 1993 NA "Campomanesia ilhoensis" "Ibrahim, M" -37.2652777777778 -11.2102777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS121176" NA NA "Campomanesia ilhoensis" "M.Ibrahim" -40.5163888888889 -12.4169444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS132057" NA NA "Campomanesia ilhoensis" "M.Ibrahim" -40.5211111111111 -12.4172222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01008296" 2013 "2013-06-25" "Campomanesia ilhoensis" "L.A. Gomes" -37.1272222222222 -10.7166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579658" 1981 NA "Campomanesia ilhoensis" "L. R. Landrum" -39.2263888888889 -14.7583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0036924" 2016 NA "Campomanesia ilhoensis" "Sem determinador" -36.2908333333333 -10.2758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0038143" 2010 "2016-07-27" "Campomanesia ilhoensis" "Andrade, RS" -37.5430555555556 -10.4822222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
