"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01418854" 1936 NA "Campomanesia lineatifolia" "L. R. Landrum" -69.5047222222222 -4.69694444444445 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907103" 1976 NA "Campomanesia lineatifolia" "L. R. Landrum" -54.9327777777778 -10.0575 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS191851" NA NA "Campomanesia lineatifolia" "D.A.Folli" -39.995 -19.1469444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RON" "RON00007814" 2013 NA "Campomanesia lineatifolia" "Sobral, M" -62.0708333333333 -11.1113888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "FPR-COLOMBIA" "69095" NA NA "Campomanesia lineatifolia" "" -71.5944444444444 1.05277777777778 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "FPR-COLOMBIA" "47626" NA NA "Campomanesia lineatifolia" "" -70.4333333333333 -3.81666666666667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "MOBOT_BR" "3182935" 1936 NA "Campomanesia lineatifolia" "L.R. Landrum" -68.8 -3.45 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00907103" 1976 NA "Campomanesia lineatifolia" "L. R. Landrum" -54.9328 -10.0575 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01418854" 1936 NA "Campomanesia lineatifolia" "L. R. Landrum" -69.5048332 -4.696879 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "169368" 1986 NA "Campomanesia lineatifolia" "" -71.383333 -11.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HDJF" "4714" 2016 NA "Campomanesia lineatifolia" "Soares, CCC" -43.423611 -18.909722 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RON" "7814" 2013 NA "Campomanesia lineatifolia" "Sobral, M" -62.118611 -11.187222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "F_BOTANY_BR" "V0040008F" NA NA "Campomanesia lineatifolia" "" -52.8731 -10.8339 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "F_BOTANY_BR" "V0348871F" 1936 NA "Campomanesia lineatifolia" "RRC ID Flag" -63 -5 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "96555" 2000 NA "Campomanesia lineatifolia" "Proença, CEB" -51.093333 -13.078333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "96556" 1997 NA "Campomanesia lineatifolia" "Proença, CEB" -50.808333 -11.776389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MFS" "002723" 2011 NA "Campomanesia lineatifolia" "Silva, CAS da" -55.978725 -4.241825 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"JABOT" "RB" "537543" 2006 NA "Campomanesia lineatifolia" "J.E.Q. Faria" -66.7677777777778 -10.0025 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "620688" 2014 "2018-11-13" "Campomanesia lineatifolia" "J.Luber" -51.7841666666667 -3.18166666666667 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "589085" 2013 NA "Campomanesia lineatifolia" "M.Sobral" -62.1186111111111 -11.1872222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-70883" 2004 NA "Campomanesia lineatifolia" "Parra, Carlos" -73.45 6.166667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"UDFJC" "UDBC" "UDBC036575" 2015 NA "Campomanesia lineatifolia" "Navarro-L., J." -73.25 4.85 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3181642" 1998 NA "Campomanesia lineatifolia" "" -74.56666 -8.35 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3183076" 1986 NA "Campomanesia lineatifolia" "" -73.75 -4.91666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Herbario Amazónico Colombiano" "COAH" "39458" NA NA "Campomanesia lineatifolia" "Ramírez, J.G." -72.8 2.43333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Herbario Amazónico Colombiano" "COAH" "55349" NA NA "Campomanesia lineatifolia" "" -72.79458 2.34106 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Herbario Amazónico Colombiano" "COAH" "29271" NA NA "Campomanesia lineatifolia" "" -72.82247 2.36328 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100695640" 2012 NA "Campomanesia lineatifolia" "R. Vásquez (HOXA)" -75.181111 -10.1375 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100696042" 2012 NA "Campomanesia lineatifolia" "R. Vásquez (HOXA)" -75.194167 -10.219167 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
