"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS151567" NA NA "Campomanesia neriiflora" "M.Ibrahim" -48.8627777777778 -23.9722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01895238" 2003 NA "Campomanesia neriiflora" "Sem determinador" -49.0191666666667 -25.7394444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579579" 1982 NA "Campomanesia neriiflora" "L. R. Landrum" -49.2608333333333 -24.8236111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579578" NA NA "Campomanesia neriiflora" "L. R. Landrum" -48.1197222222222 -22.2802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579657" 1981 NA "Campomanesia neriiflora" "L. R. Landrum" -46.88 -23.1802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579576" 1994 NA "Campomanesia neriiflora" "L. R. Landrum" -49.4194444444444 -24.5683333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES011681" 2011 NA "Campomanesia neriiflora" "Biral, L." -47.32 -22.23 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "ESA" "ESA118296" 2009 "2010-01-11" "Campomanesia neriiflora" "Aguiar, O.T." -48.678333 -24.545 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ESA" "ESA118684" 2009 "2010-01-11" "Campomanesia neriiflora" "Aguiar, O.T." -48.564722 -24.415833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "579576" 1994 NA "Campomanesia neriiflora" "L. R. Landrum" -49.4194 -24.5683 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "579578" NA NA "Campomanesia neriiflora" "L. R. Landrum" -48.1197 -22.2803 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "579579" 1982 NA "Campomanesia neriiflora" "L. R. Landrum" -49.2608 -24.8236 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "579657" 1981 NA "Campomanesia neriiflora" "L. R. Landrum" -46.88 -23.1803 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "19220097" NA NA "Campomanesia neriiflora" "" -46.914902 -22.9081 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "19230048" NA NA "Campomanesia neriiflora" "" -46.937199 -22.7945 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "19240018" NA NA "Campomanesia neriiflora" "" -46.963901 -22.8123 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "19310041" NA NA "Campomanesia neriiflora" "" -46.939602 -22.826401 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "19320032" NA NA "Campomanesia neriiflora" "" -46.916401 -22.832001 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "24300002" NA NA "Campomanesia neriiflora" "" -46.609798 -23.5814 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84380025" NA NA "Campomanesia neriiflora" "" -47.072102 -23.7083 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "84470080" NA NA "Campomanesia neriiflora" "" -47.113701 -23.715401 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "9443" 1988 NA "Campomanesia neriiflora" "L. R. Landrum & M. L. Kawasaki" -48.3333 -24.0167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "9444" 1995 NA "Campomanesia neriiflora" "L.R. Landrum, 1997." -48.3947 -24.6475 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPSF" "47433" 2013 "2013-02-27" "Campomanesia neriiflora" "F.A.R.D.P.Arzolla" -48.667222 -24.538333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPSF" "48532" 2013 "2014-03-01" "Campomanesia neriiflora" "O.T.Aguiar" -48.129167 -24.366944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "291175" 1994 NA "Campomanesia neriiflora" "Kawasaki, ML" -47.644528 -24.180222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "307165" 1995 NA "Campomanesia neriiflora" "Kawasaki, ML" -48.394722 -24.6475 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "357965" 2000 NA "Campomanesia neriiflora" "Mamede, MCH" -48.416667 -24.266667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SP" "487827" 2012 "2012-11-29" "Campomanesia neriiflora" "Almeida Scabbia, RJ" -46.639278 -23.450194 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "30031" 1994 "2010-03-06" "Campomanesia neriiflora" "M. Ibrahim Oliveira" -47.0608 -22.9056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "IAC" "34802" 1997 "2002-10-01" "Campomanesia neriiflora" "M.E.G. Sobral" -47.06861 -22.86361 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "IAC" "40709" 2000 "2000-11-08" "Campomanesia neriiflora" "L.C. Bernacci et al." -47.091717 -23.761081 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "42055" 2001 "2002-10-17" "Campomanesia neriiflora" "M.E.G. Sobral" -47.08676 -22.86372 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "IAC" "48297" 2007 "2007-05-15" "Campomanesia neriiflora" "C.F. Nardin et al." -45.115194 -23.417611 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "48301" 2007 "2007-05-16" "Campomanesia neriiflora" "C.F. Nardin et al." -45.114722 -23.417194 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "IAC" "55425" 1997 "1997-02-04" "Campomanesia neriiflora" "F. Pedroni et al." -44.812222 -23.311111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
