"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0057101" 2003 NA "Campomanesia pubescens" "L.Souza" -48.2186111111111 -22.4783333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0023566" 1954 NA "Campomanesia pubescens" "S.A.C.Chiea" -52.6425 -22.8925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02410" 2006 "2006-12-04" "Campomanesia pubescens" "Uhlmann, A" -49.6966666666667 -24.2172222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB31998" 2009 NA "Campomanesia pubescens" "Meirelles, J" -49.6486111111111 -24.1333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01181638" 2003 NA "Campomanesia pubescens" "Sem determinador" -47.9238888888889 -22.2161111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579628" 1962 NA "Campomanesia pubescens" "L. R. Landrum" -47.3755555555556 -21.9419444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906593" 1979 NA "Campomanesia pubescens" "L. R. Landrum" -54.0438888888889 -19.5316666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579651" 1976 NA "Campomanesia pubescens" "L. R. Landrum" -47.7797222222222 -20.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0028714" 2013 NA "Campomanesia pubescens" "Rabello, F.J. et al." -49.65 -24.1666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01093300" 1912 NA "Campomanesia pubescens" "L. R. Landrum" -46.63 -23.5402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906654" 1960 NA "Campomanesia pubescens" "L. R. Landrum" -43.4880555555556 -16.4758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS184139" NA NA "Campomanesia pubescens" "J.E.Q.Faria" -47.9972222222222 -15.6536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906574" 1969 NA "Campomanesia pubescens" "L. R. Landrum" -43.6441666666667 -16.7877777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906601" 1902 NA "Campomanesia pubescens" "L. R. Landrum" -55.7494444444444 -15.4608333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906680" 1982 NA "Campomanesia pubescens" "L. R. Landrum" -43.67 -19.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00116893" 1994 NA "Campomanesia pubescens" "Batalha, M; Aragaki, S" -47.5 -2.20305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS082713" NA NA "Campomanesia pubescens" "J.E.Q.Faria Júnior" -47.7666666666667 -15.6666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
