"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01181203" 1994 NA "Eugenia acapulcensis" "G.M. Barroso" -37.1666666666667 -8.61666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "27286" 2006 NA "Eugenia acapulcensis" "A. Giaretta/20-09-2017" -40.552972 -19.339167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "408182" 1995 NA "Eugenia acapulcensis" "G.M. Barroso" -37.1541666666667 -8.625 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"Universidade Federal de Sergipe, UFS" "ASE" "38178" 2010 NA "Eugenia acapulcensis" "Proença, C" -38.5953 -11.1101 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1401729" 1991 NA "Eugenia acapulcensis" "P. Sánchez" -85.28 10.77 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1401778" 1992 NA "Eugenia acapulcensis" "P. Sánchez" -84.7 10.91 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1402075" 1994 NA "Eugenia acapulcensis" "P. Sánchez" -85.61 10.83 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1403807" 1993 NA "Eugenia acapulcensis" "F.R. Barrie" -84.76 10.91 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"UNICACH" "HEM" "HEM 3223" 1994 NA "Eugenia acapulcensis" "F.M.A." -91.110556 16.759722 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 3222" 1991 NA "Eugenia acapulcensis" "F.R.M." -91.134167 16.748611 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 8273" 2002 NA "Eugenia acapulcensis" "M.E.L.V." -92.5475 16.274722 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
