"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00802525" 2001 "2006-06-15" "Eugenia acrensis" "B. K. Holst" -70.5061111111111 -9.48916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "S" "S05-2773" 1933 NA "Eugenia acrensis" "Sem determinador" -69 -9.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01413957" 1995 "2005-06-06" "Eugenia acrensis" "B. K. Holst" -71.3730555555556 -8.46055555555555 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00404857" 1933 NA "Eugenia acrensis" "Sem determinador" -69 -9.33 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00229915" 1994 NA "Eugenia acrensis" "B. K. Holst" -71.2788888888889 -8.37166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1413957" 1995 NA "Eugenia acrensis" "B. K. Holst" -71.3731 -8.4606 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "229915" 1994 NA "Eugenia acrensis" "B. K. Holst" -71.279 -8.3717 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "169367" 1986 NA "Eugenia acrensis" "" -71.383333 -11.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "INPA" "169425" 1986 NA "Eugenia acrensis" "" -71.866667 -11.666667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "INPA" "228376" 1999 NA "Eugenia acrensis" "Egler, WA" -68.316 -10.82 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "INPA" "231056" 1994 NA "Eugenia acrensis" "Holst, BK" -71.278889 -8.371667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEFS" "87717" 1933 NA "Eugenia acrensis" "" -69 -9.333333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"MO" "MO" "998378" 1995 NA "Eugenia acrensis" "" -71.08333 -11.71666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3028534" 2006 NA "Eugenia acrensis" "A. Fuentes (LPB)" -68.71722 -14.15583 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2881075" 2005 NA "Eugenia acrensis" "A. Fuentes (LPB)" -68.58777 -14.42861 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2176198" 2004 NA "Eugenia acrensis" "A. Fuentes (LPB)" -68.842778 -13.034167 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
