"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"UACh" "CHAP" "41787" 1980 NA "Eugenia aeruginea" "G. Castillo C." -89.441667 18.558333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3074933" 1985 NA "Eugenia aeruginea" "F.R. Barrie (F)" -95.06666 18.56666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863770" 1963 NA "Eugenia aeruginea" "F.R. Barrie" -93.886111 18.168889 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864425" 1983 NA "Eugenia aeruginea" "F.R. Barrie" -88.87 17.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864426" 1982 NA "Eugenia aeruginea" "F.R. Barrie" -88.55 19.08 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864428" 1974 NA "Eugenia aeruginea" "F.R. Barrie" -94.6 17.283333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864998" 1975 NA "Eugenia aeruginea" "F.R. Barrie" -91.062222 17.666389 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865273" 1980 NA "Eugenia aeruginea" "F.R. Barrie" -89.43333 18.6 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865490" 1998 NA "Eugenia aeruginea" "F.R. Barrie" -92.62138 18.27944 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1704298" 1931 NA "Eugenia aeruginea" "F.R. Barrie" -90.083333 18.45 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1704296" 1965 NA "Eugenia aeruginea" "F.R. Barrie" -92.828056 17.949444 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"CNS-UT" "TEX" "00213452" 1997 NA "Eugenia aeruginea" "E. M. Martínez S." -89.329581 19.147242 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"CNS-UT" "LL" "00193109" 1931 NA "Eugenia aeruginea" "F. R. Barrie" -90.11942 18.45146 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100410518" 2009 NA "Eugenia aeruginea" "G. Ibarra M." -103.971667 19.423333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"CNS-UT" "TEX" "00270895" 1985 NA "Eugenia aeruginea" "G. Ibarra M." -95.066944 18.586269 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IBUNAM" "MEXU" "601759" 1983 NA "Eugenia aeruginea" "G. Ibarra M." -88.881944 17.952778 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IHNE" "CHIP" "25432" 1997 NA "Eugenia aeruginea" "E. M. Martínez S." -89.427222 18.463889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IHNE" "CHIP" "25435" 1997 NA "Eugenia aeruginea" "E. M. Martínez S." -89.293611 18.661667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"K" "Herbarium" "K001002363" 1908 NA "Eugenia aeruginea" "" -77.33 17.97 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K001002362" 1894 NA "Eugenia aeruginea" "" -77.14 18.42 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K001002361" 1915 NA "Eugenia aeruginea" "" -77.79 18.1 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K001002360" NA NA "Eugenia aeruginea" "" -77.25 18.17 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K001001765" NA NA "Eugenia aeruginea" "" -89.35 15.53 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "764610" 1988 NA "Eugenia aeruginea" "F.R. Barrie" -87.6 15.833333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308970" 1988 NA "Eugenia aeruginea" "F.R. Barrie" -89.4 15.481667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865975" 1969 NA "Eugenia aeruginea" "F.R. Barrie" -89.68027 17.10027 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865974" 1969 NA "Eugenia aeruginea" "F.R. Barrie" -89.31277 17.32805 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865972" 1969 NA "Eugenia aeruginea" "F.R. Barrie" -89.68611 17.05972 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865969" 1975 NA "Eugenia aeruginea" "F.R. Barrie" -89.35861 15.52138 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865489" 1963 NA "Eugenia aeruginea" "F.R. Barrie" -89.63361 17.39444 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865488" 1968 NA "Eugenia aeruginea" "F.R. Barrie" -88.40722 17.53305 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865274" 1998 NA "Eugenia aeruginea" "F.R. Barrie" -88.953056 16.180833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865272" 1953 NA "Eugenia aeruginea" "F.R. Barrie" -88.36166 16.99527 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864993" 1952 NA "Eugenia aeruginea" "F.R. Barrie" -88.98333 16.2 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864995" 1969 NA "Eugenia aeruginea" "F.R. Barrie" -89.51805 17.24277 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864994" 1951 NA "Eugenia aeruginea" "F.R. Barrie" -88.81666 16.11666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864719" 1960 NA "Eugenia aeruginea" "F.R. Barrie" -89.61305 17.225 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864715" 1992 NA "Eugenia aeruginea" "F.R. Barrie" -88.68333 17.85 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864717" 1936 NA "Eugenia aeruginea" "F.R. Barrie" -88.55833 18.08305 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864720" 1971 NA "Eugenia aeruginea" "F.R. Barrie" -89.84444 16.90388 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864417" 1931 NA "Eugenia aeruginea" "F.R. Barrie" -88.28083 16.90333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864423" 1960 NA "Eugenia aeruginea" "F.R. Barrie" -89.67222 17.33388 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864422" 1969 NA "Eugenia aeruginea" "F.R. Barrie" -89.2125 15.86694 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864419" 1970 NA "Eugenia aeruginea" "F.R. Barrie" -88.45666 17.39555 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
