"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0030066" 2012 NA "Eugenia astringens" "Proença, C" -37.6330555555556 -11.4847222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES022754" 1999 NA "Eugenia astringens" "A. Giaretta" -39.7525 -18.7658333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES025822" 2012 NA "Eugenia astringens" "Sem determinador" -39.7775 -18.6463888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0015677" 1996 NA "Eugenia astringens" "M.Sobral" -39.7 -12.7166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057712" 2014 NA "Eugenia astringens" "M.Sobral" -36.7108333333333 -9.44166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0021986" 1980 NA "Eugenia astringens" "M.Sobral" -39.025 -16.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0002206" 1980 NA "Eugenia astringens" "M.Sobral" -37 -10.4758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0017038" 2003 NA "Eugenia astringens" "M.Sobral" -36.4972222222222 -10.1841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0049993" 2010 NA "Eugenia astringens" "M.Sobral" -36.5 -9.45194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0019450" 2003 NA "Eugenia astringens" "M.Sobral" -35.5672222222222 -9.1 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
