"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0023564" 1994 NA "Eugenia aurata" "M.Sobral" -52.5833333333333 -14.9758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01897788" 1968 NA "Eugenia aurata" "S.F. Smith" -51.75 -12.85 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01148467" 2014 NA "Eugenia aurata" "J.E.Q. Faria" -49.2919444444444 -14.1983333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907567" 1968 NA "Eugenia aurata" "C. M. D. E. Legrand" -43.38 -18.82 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579758" 1960 NA "Eugenia aurata" "L. B. Smith" -47.1647222222222 -22.2425 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907470" 1976 NA "Eugenia aurata" "F. F. Mazine" -48.9405555555556 -20.0247222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907179" 1968 NA "Eugenia aurata" "M. Sobral" -47.53 -14.38 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907161" 1985 NA "Eugenia aurata" "M. L. Kawasaki" -50.5 -10.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA045438" NA NA "Eugenia aurata" "Sem determinador" -53.1022222222222 -13.0133333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01801312" 1998 NA "Eugenia aurata" "Sem determinador" -51.8369444444444 -20.9516666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01897587" 1985 NA "Eugenia aurata" "Sem determinador" -51.2333333333333 -10.1666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UNIP" "UNIP04971" 1997 NA "Eugenia aurata" "Souza, V.C." -53.1725 -13.0261111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00016132" 2000 "2000-12-15" "Eugenia aurata" "Proença, C" -45.23 -16.2 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00934106" 1968 NA "Eugenia aurata" "F. F. Mazine" -51.75 -12.85 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
