"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0003511" 1978 NA "Eugenia biflora" "Sem determinador" -47.6425 -1.58333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02421" 2006 "2006-08-01" "Eugenia biflora" "Libério" -55.9588888888889 -14.5580555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01418940" 1986 NA "Eugenia biflora" "M. L. Kawasaki" -57.5833333333333 -0.966666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907099" 1966 NA "Eugenia biflora" "L. R. Landrum" -52.32 -14.82 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418939" 1987 NA "Eugenia biflora" "M. L. Kawasaki" -57.0591666666667 -1.05055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01122688" 2004 NA "Eugenia biflora" "Sem determinador" -56.4861111111111 -16.3505555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "SPF" "SPF00143185" 1999 NA "Eugenia biflora" "Proença, C" -61.1 -1.17305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418935" 1983 NA "Eugenia biflora" "L. R. Landrum" -54.93 -2.48 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418922" 1969 NA "Eugenia biflora" "Sem determinador" -52.5338888888889 -0.860833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01281216" 1977 NA "Eugenia biflora" "B. K. Holst" -58.3805555555556 -11.025 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418936" 1980 NA "Eugenia biflora" "M. G. da Silva" -48.1966666666667 -1.96083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "SPF" "SPF00122971" 1983 NA "Eugenia biflora" "Sobral, M" -45.5 -3.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418920" 1976 NA "Eugenia biflora" "Sem determinador" -60.6186111111111 -0.58 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01897648" 1963 NA "Eugenia biflora" "Sem determinador" -45.0333333333333 -7.38333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01418945" 1987 NA "Eugenia biflora" "Sem determinador" -62.6833333333333 3.71666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907153" 1968 NA "Eugenia biflora" "B. K. Holst" -52.23 -14.63 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418901" 1943 NA "Eugenia biflora" "R. McVaugh" -60.025 -3.10194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018691" NA NA "Eugenia biflora" "R. McVaugh" -49.5833333333333 -15.9166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01897629" 1985 NA "Eugenia biflora" "Sem determinador" -55.75 -11.6666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907148" 1985 NA "Eugenia biflora" "L. R. Landrum" -51.75 -11.28 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907124" 1980 NA "Eugenia biflora" "L. R. Landrum" -44.92 -3.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018705" 2004 NA "Eugenia biflora" "Sem determinador" -56.4861111111111 -16.3508333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01897627" 1986 NA "Eugenia biflora" "Sem determinador" -59.4833333333333 -1.83333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907154" 1967 NA "Eugenia biflora" "B. K. Holst" -52.33 -14.73 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00007804" 2013 NA "Eugenia biflora" "Sobral, M" -61.5658333333333 -11.12 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018675" 1987 NA "Eugenia biflora" "M.L. Kawasaki" -54.25 -1.91666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418917" 1977 NA "Eugenia biflora" "Sem determinador" -63.3747222222222 -0.901666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907147" 1978 NA "Eugenia biflora" "N. T. da Silva" -50.6783333333333 -10.6788888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01897635" 1980 NA "Eugenia biflora" "Sem determinador" -44.5 -4 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001018704" 1968 NA "Eugenia biflora" "Mazine, F.F." -51.75 -12.85 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018635" 1993 NA "Eugenia biflora" "B.K. Holst" -58.3666666666667 2.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00676546" 1995 "2003-06-06" "Eugenia biflora" "M. L. Kawasaki" -71.3794444444444 -8.46083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01418898" 1986 NA "Eugenia biflora" "B. K. Holst" -52.7322222222222 -0.9025 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
