"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0064313" 2013 "2013-11-14" "Eugenia brevistyla" "Larocca, P." -49.0158333333333 -25.4455555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005195" 2008 NA "Eugenia brevistyla" "M. Sobral" -49.6794444444444 -28.9266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01394692" 2017 "2017-11-29" "Eugenia brevistyla" "A. L. Gasper" -49.2766666666667 -26.3630555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32103" 2011 "2011-08-17" "Eugenia brevistyla" "Uller, HF" -48.9733333333333 -26.9261111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390837" 2016 NA "Eugenia brevistyla" "L.F. Gonçalves" -43.0027777777778 -22.4919444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02425" 2009 "2010-01-25" "Eugenia brevistyla" "Sobral, M" -49.9525 -29.1594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32100" 2009 "2010-01-25" "Eugenia brevistyla" "Sobral, M" -49.0508333333333 -27.0005555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32101" 1995 "2010-04-14" "Eugenia brevistyla" "Oliveira, AA de" -49.1272222222222 -26.8925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32095" 2011 "2015-07-10" "Eugenia brevistyla" "Sobral, M" -49.1541666666667 -26.3005555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32099" 2009 "2010-01-25" "Eugenia brevistyla" "Sobral, M" -48.7786111111111 -26.8225 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005194" 2009 NA "Eugenia brevistyla" "Vanilde C. Zanette" -49.7272222222222 -29.3358333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB51544" 2016 "2017-05-02" "Eugenia brevistyla" "M. Sobral" -49.3788888888889 -26.9430555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES038370" 2012 NA "Eugenia brevistyla" "A. Giaretta" -39.7322222222222 -18.5933333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000024684" 2017 "2017-02-14" "Eugenia brevistyla" "M.L. Brotto" -49.0130555555556 -25.4561111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00561483" 1988 NA "Eugenia brevistyla" "Sem determinador" -42.05 -22 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01116806" 1995 "2011-02-14" "Eugenia brevistyla" "D.S. Gissi" -47.885 -24.6083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00906981" NA NA "Eugenia brevistyla" "Sem determinador" -43.1847222222222 -22.5647222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00561485" 1983 NA "Eugenia brevistyla" "D. Martins" -43.2738888888889 -22.9719444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00561477" 1966 NA "Eugenia brevistyla" "B. K. Holst; M. L. Kawasaki" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00215719" 2010 NA "Eugenia brevistyla" "Giaretta, A" -39.5 -16.2588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01338363" 2015 NA "Eugenia brevistyla" "A. Giaretta" -42.9136111111111 -22.4847222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561512" 1968 NA "Eugenia brevistyla" "C. M. D. E. Legrand" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561510" 1996 NA "Eugenia brevistyla" "M. Sobral" -49.2063888888889 -25.5347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561507" 1959 NA "Eugenia brevistyla" "C. M. D. E. Legrand" -49.6166666666667 -29.1141666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES035240" 2012 NA "Eugenia brevistyla" "A. Giaretta" -41.6672222222222 -20.5413888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561479" 1957 NA "Eugenia brevistyla" "C. M. D. E. Legrand" -48.7219444444444 -26.3702777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00615452" 1987 NA "Eugenia brevistyla" "A. Giaretta" -42.0183333333333 -22.8794444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES038375" 2012 NA "Eugenia brevistyla" "A. Giaretta" -40.1419444444444 -18.9652777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561484" 1940 NA "Eugenia brevistyla" "G. M. Barroso" -43.2075 -22.9030555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00215551" 2010 NA "Eugenia brevistyla" "Giaretta, A" -39.1280555555556 -16.2588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00557911" 1981 NA "Eugenia brevistyla" "F. F. Mazine" -48.67 -25.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561508" 1959 NA "Eugenia brevistyla" "C. M. D. E. Legrand" -49.7663888888889 -29.0844444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561488" 1949 NA "Eugenia brevistyla" "P. V. Prieto" -48.9333333333333 -27.0683333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00561506" 1992 NA "Eugenia brevistyla" "Sem determinador" -48.6158333333333 -26.1169444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00719993" NA NA "Eugenia brevistyla" "L. R. Landrum" -43.0405555555556 -22.6530555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01116801" NA NA "Eugenia brevistyla" "Sem determinador" -47.9247222222222 -24.1913888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ESA" "ESA080711" NA NA "Eugenia brevistyla" "Gissi, D.S." -47.5936111111111 -24.0313888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00561480" 1955 NA "Eugenia brevistyla" "C. M. D. E. Legrand" -48.6616666666667 -26.9080555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00558093" 1968 NA "Eugenia brevistyla" "L. R. Landrum" -48.32 -25.28 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNIP" "UNIP04988" 2001 "2015-05-01" "Eugenia brevistyla" "Giaretta, A." -47.8769444444444 -24.6758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01142036" 2014 NA "Eugenia brevistyla" "J.E.Q.Faria" -43.4625 -19.0911111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MACK" "1299" 2009 "2010-01-25" "Eugenia brevistyla" "Sobral, M." -48.778611 -26.8225 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MACK" "1398" 2009 "2010-01-25" "Eugenia brevistyla" "Sobral, M." -49.9525 -29.159444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ESA" "ESA122657" 2012 "2015-05-01" "Eugenia brevistyla" "Giaretta, A." -41.7343 -20.398083 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
