"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00404944" NA NA "Eugenia cachoeirensis" "Sem determinador" -59.9952777777778 -3.06722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01450605" NA NA "Eugenia cachoeirensis" "Sem determinador" -60.1022222222222 -2.9975 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01450602" 1996 NA "Eugenia cachoeirensis" "B. K. Holst" -62.9330555555556 -0.418888888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450601" 1979 NA "Eugenia cachoeirensis" "B. K. Holst" -64.5419444444444 -0.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY1450651" 1979 NA "Eugenia cachoeirensis" "M. L. Kawasaki" -60.5486111111111 -3.03388888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450608" 1969 NA "Eugenia cachoeirensis" "R. McVaugh" -60.1694444444444 -3.12777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450606" 1967 NA "Eugenia cachoeirensis" "B. K. Holst" -60.4622222222222 -2.94027777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450604" 1971 NA "Eugenia cachoeirensis" "R. McVaugh" -60.0788888888889 -3.15944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450609" 1983 NA "Eugenia cachoeirensis" "B. K. Holst" -57.7166666666667 -4.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450607" 1976 NA "Eugenia cachoeirensis" "B. K. Holst" -60.0586111111111 -2.71611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450603" 1982 NA "Eugenia cachoeirensis" "J. Revilla" -60.0963888888889 -2.87444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UNIP" "UNIP00447" 1998 NA "Eugenia cachoeirensis" "Sobral, M." -60.1419444444444 -3.03138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3191099" 1979 NA "Eugenia cachoeirensis" "Bruce K. Holst" -64.42777 0.42638 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3191948" 1996 NA "Eugenia cachoeirensis" "B.K. Holst" -62.93305 0.41888 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450601" 1979 NA "Eugenia cachoeirensis" "B. K. Holst" -64.542 -0.5 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450602" 1996 NA "Eugenia cachoeirensis" "B. K. Holst" -62.9331 -0.4189 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450605" NA NA "Eugenia cachoeirensis" "" -60.1022878 -2.9975559 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "01450606" 1967 NA "Eugenia cachoeirensis" "B. K. Holst" -60.4622993 -2.9402229 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450607" 1976 NA "Eugenia cachoeirensis" "B. K. Holst" -60.0586724 -2.7160385 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450609" 1983 NA "Eugenia cachoeirensis" "B. K. Holst" -57.716667 -4.45 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450651" 1979 NA "Eugenia cachoeirensis" "M. L. Kawasaki" -60.5484867 -3.0340263 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "124592" 1983 NA "Eugenia cachoeirensis" "Sobral, MEG; Souza, MAD de" -58.666667 -4.25 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "154352" 1983 NA "Eugenia cachoeirensis" "Sobral, MEG; Souza, MAD de" -57.283333 -3.733333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "189200" 1996 NA "Eugenia cachoeirensis" "Holst, BK" -62.983333 -0.133333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "206411" 1981 NA "Eugenia cachoeirensis" "Sobral, MEG; Souza, MAD de" -67.05 1.933333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "242214" 2011 NA "Eugenia cachoeirensis" "Souza, MAD de; Sobral, M" -61.2415 1.03834 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "251542" 1986 NA "Eugenia cachoeirensis" "Sobral, MEG; Souza, MAD de" -64.583333 -0.466667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "261671" 2014 NA "Eugenia cachoeirensis" "Sobral, MEG" -63.348444 0.803722 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "34061" 1983 NA "Eugenia cachoeirensis" "B.K. Holst, 2000." -57.2833 -3.73333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "34062" 1983 NA "Eugenia cachoeirensis" "B.K. Holst, 2000." -57.7167 -4.45 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"NY" "NY" "404945" 1851 NA "Eugenia cachoeirensis" "" -59.995308 -3.067324 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "01450603" 1982 NA "Eugenia cachoeirensis" "J. Revilla" -60.096261 -2.874325 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
