"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00907311" 1969 NA "Eugenia capparidifolia" "C. M. D. E. Legrand" -43.2677777777778 -16.4288888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00934530" 2002 "2015-06-24" "Eugenia capparidifolia" "M. Sobral" -43.0833333333333 -17.3333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907590" NA NA "Eugenia capparidifolia" "M. Sobral" -43.55 -18.12 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017442" 1998 NA "Eugenia capparidifolia" "Faria, J.E.R." -44.125 -17.4133333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907764" 1988 NA "Eugenia capparidifolia" "M. L. Kawasaki" -44.2 -17.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00063929" 1988 NA "Eugenia capparidifolia" "Faria, JEQ" -44.2 -17.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907591" 1985 NA "Eugenia capparidifolia" "M. L. Kawasaki" -42.8894444444444 -16.5594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01204548" 2016 "2018-06-08" "Eugenia capparidifolia" "M.Sobral" -44.0002777777778 -17.9563888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01126586" 2016 NA "Eugenia capparidifolia" "J.E.Q. Faria" -43.5202777777778 -18.1233333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907566" 1970 NA "Eugenia capparidifolia" "M. Sobral" -44.13 -17.57 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907411" 1969 NA "Eugenia capparidifolia" "F. F. Mazine" -43.55 -18.15 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907307" 1969 NA "Eugenia capparidifolia" "C. M. D. E. Legrand" -43.1175 -16.3244444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "ESA" "ESA077782" 2002 NA "Eugenia capparidifolia" "Mazine, F.F." -43.05 -17.2 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00907307" 1969 NA "Eugenia capparidifolia" "C. M. D. E. Legrand" -43.11745 -16.32455 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00907311" 1969 NA "Eugenia capparidifolia" "C. M. D. E. Legrand" -43.2679 -16.4288 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00907591" 1985 NA "Eugenia capparidifolia" "M. L. Kawasaki" -42.8894 -16.5594 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUFU" "50230" 1998 NA "Eugenia capparidifolia" "Faria, J.E.R." -44.213611 -17.692222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "216170" 2016 NA "Eugenia capparidifolia" "Faria, JEQ" -43.520278 -18.123333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "334023" 1999 NA "Eugenia capparidifolia" "Kawasaki, ML" -42.916667 -16.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "334779" 1998 NA "Eugenia capparidifolia" "Kawasaki, ML" -42.883056 -16.493611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "160177" 2003 NA "Eugenia capparidifolia" "Sobral, M" -43.342778 -18.12 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "131162" 1998 NA "Eugenia capparidifolia" "Mazine, FF" -42.883056 -16.493611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "67995" 1989 NA "Eugenia capparidifolia" "Kawasaki, ML" -42.916667 -16.6 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
