"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "100742047" 2011 NA "Eugenia capuli" "Fernanda Deyanira Dorantes-Hernández" -99.75 18.883333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 11335" 2003 NA "Eugenia capuli" "J.M.M." -93.033333 16.416667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 20666" 2006 NA "Eugenia capuli" "E.M.O." -93.121667 17.503333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 16148" 2003 NA "Eugenia capuli" "O.F.S." -93.387778 16.070556 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 26192" 2009 NA "Eugenia capuli" "J.M.M." -93.065194 16.912494 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 15520" 2003 NA "Eugenia capuli" "O.F.S." -93.411111 15.98 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 24695" 2006 NA "Eugenia capuli" "A.L.C." -92.651083 15.370306 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 17312" 2003 NA "Eugenia capuli" "O.F.S." -93.378056 16.009444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 12175" 2005 NA "Eugenia capuli" "M.A.Pérez-Farrera" -92.657611 15.459333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 29501" 2003 NA "Eugenia capuli" "O.F.S." -93.313056 16.040278 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 5725" 2002 NA "Eugenia capuli" "R.M.Camilo" -93.74 17.14 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 21850" 2007 NA "Eugenia capuli" "O.F.S." -93.072028 15.761056 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 11722" 2005 NA "Eugenia capuli" "R.M.Camilo" -92.164722 16.316389 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 15357" 2003 NA "Eugenia capuli" "O.F.S." -93.393889 16.0425 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 4283" 2002 NA "Eugenia capuli" "R.M.Camilo" -93.208333 15.858333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 3292" 2001 NA "Eugenia capuli" "R.M.Camilo" -93.09 15.772778 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 28047" 2009 NA "Eugenia capuli" "J.A.E.J." -93.156556 17.034028 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 19284" 2006 NA "Eugenia capuli" "R.M.Camilo" -92.718611 15.684444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 12960" 2005 NA "Eugenia capuli" "R.R.S." -92.647361 15.626889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 17142" 2003 NA "Eugenia capuli" "O.F.S." -93.370833 16.063889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 4243" 2000 NA "Eugenia capuli" "R.M.Camilo" -92.824167 15.657778 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 19969" 2006 NA "Eugenia capuli" "H.G.D." -92.742694 15.688 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 13242" 2005 NA "Eugenia capuli" "H.G.D." -93.146194 15.812861 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 18601" NA NA "Eugenia capuli" "H.G.D." -92.680528 15.484139 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 6464" 2000 NA "Eugenia capuli" "M.A.Pérez-Farrera" -93.033333 15.755556 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 2186" 2001 NA "Eugenia capuli" "N.M.M." -92.952222 15.721389 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 20770" 2006 NA "Eugenia capuli" "J.M.M." -93.729972 16.241861 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 12404" 2005 NA "Eugenia capuli" "N.M.M." -92.639083 15.416889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 9060" 1999 NA "Eugenia capuli" "M.A.Pérez-Farrera" -93.063056 15.824444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 20797" 2006 NA "Eugenia capuli" "C.A.P.B." -93.720278 16.214528 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 13016" 2005 NA "Eugenia capuli" "C.A.P.B." -92.603889 15.556667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 27606" 2009 NA "Eugenia capuli" "R.M.Camilo" -93.270283 17.001883 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 11591" 2005 NA "Eugenia capuli" "R.M.Camilo" -92.936111 15.719722 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 17313" 2003 NA "Eugenia capuli" "O.F.S." -93.463889 16.007778 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 8928" 2000 NA "Eugenia capuli" "M.A.Pérez-Farrera" -93.150833 15.854444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 13984" 2005 NA "Eugenia capuli" "J.M.M." -93.063917 15.799444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 16348" 2003 NA "Eugenia capuli" "O.F.S." -93.394167 16.042222 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 22591" 2005 NA "Eugenia capuli" "N.M.M." -93.195972 15.880444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 13736" 2005 NA "Eugenia capuli" "J.M.M." -93.050611 15.77425 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 10482" 2002 NA "Eugenia capuli" "R.R.S." -92.7125 15.661667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "38160" 1989 NA "Eugenia capuli" "S. Zamudio R." -99.037933 21.194263 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "39084" 1991 NA "Eugenia capuli" "F. Ramos M." -91.933333 16.203056 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "9995" 1984 NA "Eugenia capuli" "F. Ramos M." -98.505833 21.055833 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "37112" 1994 NA "Eugenia capuli" "A. Flores M." -91.141667 16.758333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "22024" 1988 NA "Eugenia capuli" "F. Ramos M." -93.216667 15.911111 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "13827" 1983 NA "Eugenia capuli" "G. Ibarra M." -95.075 18.575 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "23916" 1989 NA "Eugenia capuli" "F. Ramos M." -93.471389 15.981389 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "47428" 1998 NA "Eugenia capuli" "F. Ramos M." -98.340556 20.381389 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "24436" 1989 NA "Eugenia capuli" "F. Ramos M." -92.606667 15.6675 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "24647" 1989 NA "Eugenia capuli" "F. Ramos M." -93.322222 16.170278 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "26967" 1983 NA "Eugenia capuli" "P. Sánchez V." -92.347778 17.175833 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "49745" 2000 NA "Eugenia capuli" "F. Ramos M." -97.531944 20.705 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
