"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32146" 1996 "1996-12-12" "Eugenia catharinensis" "Sevegnani, L" -49.1272222222222 -26.8925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32142" 2010 "2011-01-21" "Eugenia catharinensis" "Oliveira, AA de" -48.7808333333333 -27.6288888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB54118" 2017 "2017-08-31" "Eugenia catharinensis" "Oliveira, A. A." -49.1758333333333 -26.5522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32128" 2014 "2014-08-20" "Eugenia catharinensis" "Seubert, RC" -49.2077777777778 -27.1238888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32133" 2009 "2009-11-28" "Eugenia catharinensis" "Verdi, M" -49.4088888888889 -28.6219444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32129" 2015 "2015-02-10" "Eugenia catharinensis" "Oliveira, AA de" -48.7786111111111 -26.8225 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02431" 2009 "2009-09-25" "Eugenia catharinensis" "Stival-Santos, A" -48.8711111111111 -26.8197222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32143" 2010 "2010-10-29" "Eugenia catharinensis" "Sobral, M" -49.0505555555556 -26.2802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB54340" 2017 "2017-07-23" "Eugenia catharinensis" "Gebien, W." -49.0872222222222 -26.9572222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32123" 2014 "2014-09-05" "Eugenia catharinensis" "Gasper, AL de" -49.0791666666667 -26.9561111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB52055" 2016 "2016-10-15" "Eugenia catharinensis" "Schwirkowski, P." -49.2697222222222 -26.3261111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32137" 2010 "2010-07-11" "Eugenia catharinensis" "Stival-Santos, A" -48.69 -27.72 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32134" 2007 "2007-06-06" "Eugenia catharinensis" "Verdi, M; Stival-Santos, A" -49.0791666666667 -26.9222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32144" 2010 "2010-11-09" "Eugenia catharinensis" "Korte, A" -48.6902777777778 -27.3613888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB25292" 2016 "2016-08-10" "Eugenia catharinensis" "Gasper, AL de" -49.0766666666667 -26.9222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32139" 2010 "2010-10-25" "Eugenia catharinensis" "Sobral, M" -48.9608333333333 -27.7202777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32132" 2009 "2010-01-25" "Eugenia catharinensis" "Oliveira, AA de" -49.2305555555556 -27.1802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB54955" 2017 "2017-10-11" "Eugenia catharinensis" "Farias, D.M." -48.78 -27.36 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32138" 2010 "2010-05-19" "Eugenia catharinensis" "Stival-Santos, A" -48.8713888888889 -27.7188888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32145" 2009 "2009-08-19" "Eugenia catharinensis" "Gasper, AL de" -49.2786111111111 -26.9194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00873040" 2010 "2010-08-27" "Eugenia catharinensis" "H.F. Uller" -49.0666666666667 -26.9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579854" 1953 NA "Eugenia catharinensis" "C. M. D. E. Legrand" -48.645 -26.9469444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579852" 1968 NA "Eugenia catharinensis" "C. M. D. E. Legrand" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00579858" 1950 NA "Eugenia catharinensis" "C. M. D. E. Legrand" -48.9102777777778 -27.1266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0023757" 1968 NA "Eugenia catharinensis" "Legrand, D" -48.1941666666667 -25.1825 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB49342" 2015 "2015-11-10" "Eugenia catharinensis" "Schwirkowski, P" -49.0536111111111 -26.2208333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "NYBG_BR" "579849" 1981 NA "Eugenia catharinensis" "G. G. Hatschbach" -48.8342 -25.4769 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "579854" 1953 NA "Eugenia catharinensis" "C. M. D. E. Legrand" -48.644872 -26.946812 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
