"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32156" 2007 "2008-04-01" "Eugenia chlorophylla" "Sobral, M" -49.6813888888889 -26.2794444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02434" 2011 NA "Eugenia chlorophylla" "Sobral, M" -49.8213888888889 -27.4063888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32154" 2010 NA "Eugenia chlorophylla" "Sobral, M" -48.87 -28.44 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB04149" 2011 NA "Eugenia chlorophylla" "Marinero, F" -49.0705555555556 -25.4505555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB48042" 2015 "2015-09-13" "Eugenia chlorophylla" "Oliveira, AA de" -50.2336111111111 -27.3611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00594929" 1975 NA "Eugenia chlorophylla" "F. F. Mazine" -49.2063888888889 -25.5347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00580043" 1977 NA "Eugenia chlorophylla" "M. Sobral" -49.2730555555556 -25.4280555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016663" 2013 NA "Eugenia chlorophylla" "E. Barboza" -49.2180555555556 -24.7830555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01898270" 1982 NA "Eugenia chlorophylla" "Sem determinador" -49.0833333333333 -25.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000016664" 2008 "2011-09-02" "Eugenia chlorophylla" "M.G. Caxambu" -51.5502777777778 -25.0455555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000021503" 2013 NA "Eugenia chlorophylla" "Sem determinador" -49.0155555555556 -25.8366666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
