"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"UACh" "CHAP" "10642" 1980 NA "Eugenia choapamensis" "T. Wendt" -94.508333 17.241667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2863419" 1963 NA "Eugenia choapamensis" "F.R. Barrie" -93 17.55 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1704345" 1957 NA "Eugenia choapamensis" "F.R. Barrie" -92.971111 17.576667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"CNS-UT" "LL" "00270944" 1980 NA "Eugenia choapamensis" "T. L. Wendt" -94.275 17.233333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2863412" 1971 NA "Eugenia choapamensis" "F.R. Barrie" -89.10694 15.75138 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863057" 1975 NA "Eugenia choapamensis" "F.R. Barrie" -89.35083 16.08111 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863056" 1940 NA "Eugenia choapamensis" "F.R. Barrie" -88.66583 15.68777 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863055" 1940 NA "Eugenia choapamensis" "F.R. Barrie" -89.023333 15.385833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862672" 1940 NA "Eugenia choapamensis" "F.R. Barrie" -88.83333 15.46666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862674" 1981 NA "Eugenia choapamensis" "F.R. Barrie" -84.83333 15.71666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1704347" 1981 NA "Eugenia choapamensis" "F.R. Barrie" -89.05 16.2 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"F" "Botany" "V0065009F" 1940 NA "Eugenia choapamensis" "RRC ID Flag" -89 15.5 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
