"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB00866091" 2014 "2015-06-24" "Eugenia citrifolia" "M.Sobral" -63.1780555555556 -0.154444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01552880" 1989 NA "Eugenia citrifolia" "B. K. Holst" -59.7277777777778 -2.40722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018765" 1987 NA "Eugenia citrifolia" "M.L. Kawasaki" -57.0833333333333 -1.11666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018764" 1985 NA "Eugenia citrifolia" "M. Sobral" -55.5666666666667 -11.6 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450617" 1991 NA "Eugenia citrifolia" "B. K. Holst" -67.75 -10.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450620" 1987 NA "Eugenia citrifolia" "M. L. Kawasaki" -57.0516666666667 -1.08388888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018767" 1994 NA "Eugenia citrifolia" "M.A.D. Souza" -59.9666666666667 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450618" 1987 NA "Eugenia citrifolia" "M. L. Kawasaki" -56 -0.333333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450619" NA NA "Eugenia citrifolia" "M. L. Kawasaki" -59.9047222222222 -2.43416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01551919" 1974 NA "Eugenia citrifolia" "M. A. D. de Souza" -60.3236111111111 -2.62361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450621" 1991 NA "Eugenia citrifolia" "B. K. Holst" -68.8 -10.85 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018762" 1997 NA "Eugenia citrifolia" "Holst, B.K." -56.8805555555556 4.75833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907550" 1985 NA "Eugenia citrifolia" "M. Sobral" -55.57 -11.6 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450622" 1991 NA "Eugenia citrifolia" "B. K. Holst" -68.7480555555556 -11.0161111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3187711" 1985 NA "Eugenia citrifolia" "M. Sobral" -55.56666 -11.6 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450619" NA NA "Eugenia citrifolia" "M. L. Kawasaki" -59.9047565 -2.4341339 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450620" 1987 NA "Eugenia citrifolia" "M. L. Kawasaki" -57.0516345 -1.0837999 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450622" 1991 NA "Eugenia citrifolia" "B. K. Holst" -68.7481 -11.0161 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1551919" 1974 NA "Eugenia citrifolia" "M. A. D. de Souza" -60.3236344 -2.6235947 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1552880" 1989 NA "Eugenia citrifolia" "B. K. Holst" -59.727778 -2.407222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
