"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01237568" 2015 NA "Eugenia conduplicata" "A. Giaretta" -59.0508333333333 -2.88111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01897807" 1991 NA "Eugenia conduplicata" "B.K. Holst" -60.25 -2.51666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450653" 1968 NA "Eugenia conduplicata" "B. K. Holst" -61.0183333333333 2.14722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450652" 1968 NA "Eugenia conduplicata" "B. K. Holst" -59.1708333333333 -2.82583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3181353" 1991 NA "Eugenia conduplicata" "B.K.Holst (SEL)" -60.25 -2.5166667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450652" 1968 NA "Eugenia conduplicata" "B. K. Holst" -59.1708183 -2.8259448 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "186053" 1991 NA "Eugenia conduplicata" "Souza, MAD de" -60.25 -2.516667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "US" "3332095" 1991 NA "Eugenia conduplicata" "" -60.25 -2.52 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"JABOT" "RB" "562469" 2012 NA "Eugenia conduplicata" "M. Sobral" -61.6602777777778 0.801388888888889 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"MO" "MO" "1838502" 1979 NA "Eugenia conduplicata" "(Paratype) B.K. Holst" -66.566667 3.6 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "1365056" 1989 NA "Eugenia conduplicata" "" -66.58 3.62 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
