"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"K" "Herbarium" "K001002462" 1930 NA "Eugenia confusa" "" -61.18 10.61 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K001002447" 1930 NA "Eugenia confusa" "" -71.49 19.13 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"US" "Botany" "3659282" 2002 NA "Eugenia confusa" "" -66.6042 18.3372 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"US" "Botany" "3326840" 1995 NA "Eugenia confusa" "" -66.9861 18.1697 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "258401" 1985 NA "Eugenia confusa" "B.K. Holst (MO)" -66.983333 18.316667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100789718" 1998 NA "Eugenia confusa" "" -82.55 27.3333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100789720" 2008 NA "Eugenia confusa" "" -80.2683 25.675 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"F" "Botany" "V0096560F" 1903 NA "Eugenia confusa" "" -82 28 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"B" "Herbarium Berolinense" "B 10 0547574" 2013 NA "Eugenia confusa" "" -76.988327 21.410278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "843449" 1994 NA "Eugenia confusa" "" -66.983333 18.133333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946191" 1992 NA "Eugenia confusa" "B. K. Holst" -67 18.13 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "946194" 1950 NA "Eugenia confusa" "E. L. Little Jr." -67.003854 18.148378 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "946198" NA NA "Eugenia confusa" "A. H. Liogier" -66.988822 18.155975 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "819259" 1884 NA "Eugenia confusa" "" -66.964214 18.150127 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946201" 1985 NA "Eugenia confusa" "" -66.980835 18.145715 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "722204" NA NA "Eugenia confusa" "" -78.78 26.53 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "1435599" 1981 NA "Eugenia confusa" "" -70.42 18.83 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "1435587" 1985 NA "Eugenia confusa" "" -69.5 19 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946192" 2001 NA "Eugenia confusa" "" -66.94964 18.12302 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946199" 1959 NA "Eugenia confusa" "R. O. Woodbury" -66.91 18.3886 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "946200" 1963 NA "Eugenia confusa" "" -66.93309 18.173115 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "1435589" 1986 NA "Eugenia confusa" "" -69.4583 19.08 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"BPBM" "BISH" "732696" 2001 NA "Eugenia confusa" "" -66.9557 18.1378 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"BPBM" "BISH" "734145" NA NA "Eugenia confusa" "" -69.483 19.079 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"UConn" "CONN" "CONN00127239" 1937 NA "Eugenia confusa" "" -80.20972 25.77527 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"UA" "UNA" "UNA00065571" 1980 NA "Eugenia confusa" "R. Kral" -80.38 27.1 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
