"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K001021593" 1994 NA "Eugenia cuspidifolia" "M.A.D. Souza" -59.9666666666667 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001051644" 1992 NA "Eugenia cuspidifolia" "Sem determinador" -59.7277777777778 -2.40722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01522318" NA NA "Eugenia cuspidifolia" "M. H. Nee" -59.6855555555556 -2.31527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UNIP" "UNIP02396" 1991 NA "Eugenia cuspidifolia" "Kawasaki, M.L." -59.7611111111111 -2.40722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01897826" 1989 NA "Eugenia cuspidifolia" "Sem determinador" -59.95 -2.36666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01450662" 1997 NA "Eugenia cuspidifolia" "M. A. D. de Souza" -59.97 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01009448" 1989 NA "Eugenia cuspidifolia" "M. H. Nee" -59.8886111111111 -2.42916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01009447" 1989 NA "Eugenia cuspidifolia" "M. H. Nee" -60.0916666666667 -2.32666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01840308" 1986 NA "Eugenia cuspidifolia" "Sem determinador" -59.4772222222222 -1.91972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00749833" 1986 NA "Eugenia cuspidifolia" "M. L. Kawasaki" -58.7269444444444 -2.30666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01897827" 1992 NA "Eugenia cuspidifolia" "Sem determinador" -59.85 -2.41666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "HFSL" "1165" 1986 "2005-01-01" "Eugenia cuspidifolia" "Kawasaki, M.L." -59 -2.25 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "100582394" 1989 NA "Eugenia cuspidifolia" "M. Nee" -60.0833333 -2.3166667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "00749833" 1986 NA "Eugenia cuspidifolia" "M. L. Kawasaki" -58.7269878 -2.3065914 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01450661" 1994 NA "Eugenia cuspidifolia" "M. A. D. de Souza" -59.97 -2.883333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01840308" 1986 NA "Eugenia cuspidifolia" "" -59.4772 -1.9197 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
