"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"US" "Botany" "3525593" 2004 NA "Eugenia eggersii" "" -66.7706 18.1453 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"US" "Botany" "3539008" 2006 NA "Eugenia eggersii" "" -66.031 18.0653 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LD" "General" "1818050" 1885 NA "Eugenia eggersii" "" -66.263974 18.130647 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LD" "General" "1808418" 1885 NA "Eugenia eggersii" "" -65.908542 18.224133 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"SNSB-M" "BSMvplantscoll" "M-0137679 / 526227 / 210719" 1883 NA "Eugenia eggersii" "" -65.881577 18.251751 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"SNSB-M" "BSMvplantscoll" "M-0137678 / 526226 / 210718" 1885 NA "Eugenia eggersii" "" -65.87265 18.25765 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946371" 1963 NA "Eugenia eggersii" "A. H. Liogier" -66.051048 18.103623 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "946375" 1968 NA "Eugenia eggersii" "" -66.52031 18.22033 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946382" 1963 NA "Eugenia eggersii" "" -65.781006 18.296076 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946374" 1962 NA "Eugenia eggersii" "" -66.48045 18.17191 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946372" 1976 NA "Eugenia eggersii" "A. H. Liogier" -66.099886 18.075624 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "819266" 1885 NA "Eugenia eggersii" "" -65.96072 18.17939 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946373" 1976 NA "Eugenia eggersii" "" -65.82579 18.33874 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946370" 1964 NA "Eugenia eggersii" "" -65.82904 18.26309 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "819264" 1914 NA "Eugenia eggersii" "" -65.786839 18.253052 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946389" 1962 NA "Eugenia eggersii" "" -65.790625 18.310985 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946388" 1962 NA "Eugenia eggersii" "" -66.591944 18.1725 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946378" 1950 NA "Eugenia eggersii" "R. O. Woodbury" -65.825639 18.338291 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "946385" 1971 NA "Eugenia eggersii" "" -66.05215 18.11363 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "946381" 1967 NA "Eugenia eggersii" "R. O. Woodbury" -66.076 18.127934 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
