"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"K" "Herbarium" "K001001865" 1979 NA "Eugenia esteliensis" "" -86.28 13 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "885580" 1982 NA "Eugenia esteliensis" "F.R. Barrie" -86.33333 12.96666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "811479" 1981 NA "Eugenia esteliensis" "F.R. Barrie" -86.35 12.96666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "785695" 1982 NA "Eugenia esteliensis" "F.R. Barrie" -86.416667 13.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "779028" 1981 NA "Eugenia esteliensis" "F.R. Barrie" -85.86666 12.93333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "313072" 1981 NA "Eugenia esteliensis" "F.R. Barrie" -86.43333 13.11666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "313038" 1981 NA "Eugenia esteliensis" "F.R. Barrie" -86.33333 12.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312537" 1981 NA "Eugenia esteliensis" "F.R. Barrie" -86.35 12.98333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312027" 1985 NA "Eugenia esteliensis" "F.R. Barrie" -86.23333 13.16666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308727" 1982 NA "Eugenia esteliensis" "F.R. Barrie" -86.61666 13.33333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308595" 1982 NA "Eugenia esteliensis" "F.R. Barrie" -86.25 13.2 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308534" 1982 NA "Eugenia esteliensis" "F.R. Barrie" -86.35 12.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308522" 1981 NA "Eugenia esteliensis" "F.R. Barrie" -86.333333 12.966667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308490" 1981 NA "Eugenia esteliensis" "F.R. Barrie" -86.366667 12.966667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308372" 1985 NA "Eugenia esteliensis" "F.R. Barrie" -85.76666 12.63333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308253" 1983 NA "Eugenia esteliensis" "F.R. Barrie" -86.316667 13.266667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863843" 1947 NA "Eugenia esteliensis" "F.R. Barrie" -86.03333 13.08333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1493965" 1999 NA "Eugenia esteliensis" "F. Barrie" -86.26666 13.26666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1490934" 1999 NA "Eugenia esteliensis" "F. Barrie" -86.216667 13.25 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1338249" 1999 NA "Eugenia esteliensis" "F. Barrie" -86.33333 13.2 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1122412" 1976 NA "Eugenia esteliensis" "F.R. Barrie" -86.36666 12.98333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1122418" 1979 NA "Eugenia esteliensis" "F.R. Barrie" -86.28333 13.175 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100200685" 2009 NA "Eugenia esteliensis" "W.D. Stevens" -86.425 13.113889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
