"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "US" "US01897903" 1961 NA "Eugenia exaltata" "Sem determinador" -51.9333333333333 1.66666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01897904" 1960 NA "Eugenia exaltata" "Sem determinador" -51.6166666666667 -3.55 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01897902" 1961 NA "Eugenia exaltata" "Sem determinador" -51.9666666666667 -2.21666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001018918" 1960 NA "Eugenia exaltata" "R. McVaugh" -51.6166666666667 3.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450707" 1961 NA "Eugenia exaltata" "R. McVaugh" -51.93 1.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450708" 1960 NA "Eugenia exaltata" "R. McVaugh" -51.62 3.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450709" 1961 NA "Eugenia exaltata" "R. McVaugh" -51.97 2.22 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01459807" 1971 NA "Eugenia exaltata" "M. Sobral" -60.0802777777778 -2.90777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001018919" 1993 NA "Eugenia exaltata" "B.K. Holst" -54.5833333333333 2.46666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01459807" 1971 NA "Eugenia exaltata" "M. Sobral" -60.0803661 -2.9078962 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
