"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0029479" 2012 NA "Eugenia excelsa" "Proença, C" -37.2533333333333 -11.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045929" 2010 NA "Eugenia excelsa" "M.Sobral" -37.4519444444445 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0015032" 2001 NA "Eugenia excelsa" "M.Sobral" -36.2505555555556 -9.99361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0035694" 2009 NA "Eugenia excelsa" "M.Sobral" -36.2852777777778 -10.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0015059" 2001 NA "Eugenia excelsa" "M.Sobral" -36.2722222222222 -10.0047222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051443" 2011 NA "Eugenia excelsa" "B.S.Amorim" -35.5 -8.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32161" 2014 "2015-07-10" "Eugenia excelsa" "Sobral, M" -49.14 -27.0002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005034" 1992 NA "Eugenia excelsa" "Marcos Sobral" -48.6163888888889 -26.1175 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32164" 2010 NA "Eugenia excelsa" "Sobral, M" -48.69 -26.19 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUENF" "HUENF00010923" 2012 NA "Eugenia excelsa" "Sem determinador" -41.4480555555556 -21.7972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32162" 2015 "2015-02-10" "Eugenia excelsa" "Oliveira, AA de" -48.7786111111111 -26.8225 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0016499" 1995 NA "Eugenia excelsa" "Proença, C" -37.2527777777778 -11.2241666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNIP" "UNIP01612" NA NA "Eugenia excelsa" "Oliveira, A.A." -59.7611111111111 -2.40722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01450710" NA NA "Eugenia excelsa" "R. McVaugh" -53.9866666666667 -3.72722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0032859" 2015 "2015-07-21" "Eugenia excelsa" "Sem determinador" -37.1222222222222 -11.0052777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00557859" NA NA "Eugenia excelsa" "F. F. Mazine" -46.7244444444444 -23.5655555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001021475" 2006 NA "Eugenia excelsa" "M. Souza" -42.0372222222222 -22.4583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES026927" 2011 NA "Eugenia excelsa" "Giaretta, A.O." -39.8097222222222 -18.7333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001021727" 2003 NA "Eugenia excelsa" "Sem determinador" -48.9 -25.3333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0003068" 2014 "2014-04-14" "Eugenia excelsa" "Silva, BD" -37.1916666666667 -10.5311111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579912" 1985 NA "Eugenia excelsa" "G. M. Barroso" -42.8183333333333 -22.9194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY1738281" 2009 NA "Eugenia excelsa" "Sem determinador" -35.0077777777778 -6.36944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0016640" 1995 NA "Eugenia excelsa" "Proença, C" -37.2533333333333 -11.2266666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES011803" 2012 NA "Eugenia excelsa" "Sem determinador" -39.8022222222222 -18.6691666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00579909" 1983 NA "Eugenia excelsa" "M. L. Kawasaki" -51.62 -0.17 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES013653" 2010 NA "Eugenia excelsa" "Sem determinador" -40.0191666666667 -19.1761111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00750155" 2003 NA "Eugenia excelsa" "M. Sobral" -39.7 -14.93 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0027213" 2011 NA "Eugenia excelsa" "Proença, C" -37.2519444444444 -11.2338888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01152491" 2014 NA "Eugenia excelsa" "J.E.Q. Faria" -39.0305555555556 -15.2175 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY1758980" 2011 NA "Eugenia excelsa" "A. R. L. Lourenço" -35.235 -6.13222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES014615" 1993 "2010-05-25" "Eugenia excelsa" "Souza, M." -40.36 -19.5608333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0029700" 2012 NA "Eugenia excelsa" "Proença, C" -37.2533333333333 -11.2352777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01387862" 2015 NA "Eugenia excelsa" "L. F. Gonçalves" -43.0055555555556 -22.4475 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01383150" 2010 NA "Eugenia excelsa" "Sem determinador" -40.0188888888889 -19.1761111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01897905" 1980 NA "Eugenia excelsa" "Sem determinador" -44.9666666666667 -4.43333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
