"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"NHMUK" "BOT" "BM000043864" 1980 NA "Eugenia foetida" "Fred Rogers Barrie" -88.12489 19.670011 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862705" 1995 NA "Eugenia foetida" "F.R. Barrie" -88.789722 21.175 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863079" 1989 NA "Eugenia foetida" "F.R. Barrie" -89.53 20.65 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863080" 1986 NA "Eugenia foetida" "F.R. Barrie" -88.815278 20.593611 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863443" 1985 NA "Eugenia foetida" "F.R. Barrie (F)" -88.48 20.64 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863448" 1938 NA "Eugenia foetida" "F.R. Barrie" -88.805278 20.703056 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863444" 1983 NA "Eugenia foetida" "F.R. Barrie" -88.01 20.81 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863447" 1938 NA "Eugenia foetida" "F.R. Barrie" -88.522222 20.838056 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863446" 1994 NA "Eugenia foetida" "F.R. Barrie" -88.480278 20.335833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863853" 1976 NA "Eugenia foetida" "F.R. Barrie" -86.87 20.94 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
