"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"K" "Herbarium" "K001002519" NA NA "Eugenia glabrata" "" -75 20.32 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K001002515" 1930 NA "Eugenia glabrata" "" -79.9 22.24 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"US" "Botany" "3009603" 1983 NA "Eugenia glabrata" "" -77.5 18.08 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2498049" 1859 NA "Eugenia glabrata" "" -75 20.31666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2495729" 1983 NA "Eugenia glabrata" "L.R. Landrum" -77.5 18.08333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "1436084" 1930 NA "Eugenia glabrata" "" -80.223497 21.980283 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "00680863" 1971 NA "Eugenia glabrata" "J. Trejo" -66.98315 18.4189 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "00680867" 1986 NA "Eugenia glabrata" "A. H. Liogier" -66.8161 18.3494 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "00680864" 1986 NA "Eugenia glabrata" "J. Trejo" -66.96017 18.49046 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "1436085" 1943 NA "Eugenia glabrata" "" -74.8404 20.60761 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "843470" 1996 NA "Eugenia glabrata" "" -84.383333 21.933333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
