"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "310757" 1993 NA "Eugenia gomezii" "F.R. Barrie" -83.23 9.34 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311395" 1992 NA "Eugenia gomezii" "F.R. Barrie" -83.46 8.96 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311403" 1983 NA "Eugenia gomezii" "F.R. Barrie" -82.85 8.933333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311412" 1983 NA "Eugenia gomezii" "F.R. Barrie" -82.8 8.941667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311421" 1983 NA "Eugenia gomezii" "F.R. Barrie" -82.766667 8.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311655" 1992 NA "Eugenia gomezii" "F.R. Barrie" -85.37083 10.17638 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862726" 1984 NA "Eugenia gomezii" "F.R. Barrie" -82.796111 8.950556 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2862725" 1982 NA "Eugenia gomezii" "F.R. Barrie" -82.77861 8.93 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863869" 1995 NA "Eugenia gomezii" "F.R. Barrie" -83.244444 9.275 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864177" 1999 NA "Eugenia gomezii" "F.R. Barrie" -82.83611 8.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864797" 1991 NA "Eugenia gomezii" "F.R. Barrie" -83.48305 8.69527 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865602" 1983 NA "Eugenia gomezii" "F.R. Barrie" -82.74 8.94 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866134" 1978 NA "Eugenia gomezii" "F.R. Barrie" -82.83 8.93 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866136" 1999 NA "Eugenia gomezii" "F.R. Barrie" -82.78472 8.90333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2866135" 1999 NA "Eugenia gomezii" "F.R. Barrie" -82.76555 8.90305 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1590019" 1997 NA "Eugenia gomezii" "F.R. Barrie" -82.78 8.93 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100865408" 1999 NA "Eugenia gomezii" "D. Santamaría" -82.775159 8.910872 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "775455" 1990 NA "Eugenia gomezii" "F.R. Barrie" -82.841667 8.888889 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2163899" 1981 NA "Eugenia gomezii" "F.R. Barrie" -82.73333 8.86666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100470309" 2008 NA "Eugenia gomezii" "F.R. Barrie" -82.848401 9.431818 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
