"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32174" 2009 "2010-01-25" "Eugenia gracillima" "Sobral, M" -52.4213888888889 -27.2230555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32175" 1999 "2009-07-17" "Eugenia gracillima" "Sobral, M" -49.2230555555556 -26.8966666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01198169" NA NA "Eugenia gracillima" "M. Sobral" -44.99 -12.15 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907297" 1973 NA "Eugenia gracillima" "Sem determinador" -56.0966666666667 -15.5961111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "NYBG_BR" "00907297" 1973 NA "Eugenia gracillima" "" -56.0967 -15.5961 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HVAT" "4698" 2016 "2016-10-15" "Eugenia gracillima" "M. Grings" -51.023506 -29.342325 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "BHCB" "86575" 2004 NA "Eugenia gracillima" "" -40.055333 -16.071389 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "37076" NA "2009-02-13" "Eugenia gracillima" "Faria, JEQ" -51.9622 -18.3061 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HCDAL" "13055" 2017 "2017-01-04" "Eugenia gracillima" "Silva, A.G." -39.883333 -7.35 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ALCB" "128166" 2013 NA "Eugenia gracillima" "Stadnik, A" -42.546667 -14.651667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "32174" 2009 "2010-01-25" "Eugenia gracillima" "Sobral, M" -52.4213889 -27.2230556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "32175" 1999 "2009-07-17" "Eugenia gracillima" "Sobral, M" -49.2230556 -26.8966666 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ICN" "178482" 2012 NA "Eugenia gracillima" "Sobral, M" -50.560556 -29.446944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HAS" "91595" NA "2015-09-21" "Eugenia gracillima" "Molz, M." -50.430367 -29.582752 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "332367" 1998 "2017-07-25" "Eugenia gracillima" "Mazine, FF" -51.587722 -21.074861 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "16357" 2009 "2009-11-20" "Eugenia gracillima" "Romagnolo, M.B." -52.883333 -22.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "19858" 2010 NA "Eugenia gracillima" "Romagnolo, M.B." -53.169167 -22.713056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "21615" 2011 NA "Eugenia gracillima" "Romagnolo, M.B." -53.17 -22.711944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "21626" 2011 NA "Eugenia gracillima" "Romagnolo, M.B." -52.893533 -22.610689 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "21653" 2011 NA "Eugenia gracillima" "Romagnolo, M.B." -52.88325 -22.627 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "24046" 2012 NA "Eugenia gracillima" "Romagnolo, M.B." -52.813583 -22.630722 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "25098" 2012 NA "Eugenia gracillima" "Romagnolo, M.B." -52.893583 -22.604806 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "25364" 2012 NA "Eugenia gracillima" "Romagnolo, M.B." -53.169444 -22.711806 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEM" "29115" 2007 "2015-02-05" "Eugenia gracillima" "in Reflora" -52.866667 -22.616667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)" "CEPEC" "86057" NA NA "Eugenia gracillima" "M. Sobral" -41.666667 -13.233333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
