"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00579877" 1990 NA "Eugenia hilariana" "M. L. Kawasaki" -42.97 -16.6 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00066567" 1988 NA "Eugenia hilariana" "Kawasaki, ML" -42.54 -16.35 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01307175" 2016 NA "Eugenia hilariana" "J.E.Q. Faria" -43.5036111111111 -18.1480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907599" 1988 NA "Eugenia hilariana" "M. L. Kawasaki" -42.9 -16.58 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00220879" 2015 NA "Eugenia hilariana" "Faria, JEQ" -46.1147222222222 -10.6194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907598" 1978 NA "Eugenia hilariana" "M. Sobral" -42.8894444444444 -16.5594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00907598" 1978 NA "Eugenia hilariana" "M. Sobral" -42.8894 -16.5594 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HDJF" "4386" 2016 NA "Eugenia hilariana" "Faria, JEQ" -43.503611 -18.148056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "15961" 2003 NA "Eugenia hilariana" "Faria, JEQ" -45.335 -15.358056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "171193" 2011 NA "Eugenia hilariana" "Faria, JEQ" -47.514167 -10.726944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "205746" 2010 NA "Eugenia hilariana" "Faria, JEQ" -43.5308 -17.5539 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ALCB" "124730" 1988 NA "Eugenia hilariana" "Kawasaki, ML" -42.9 -16.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "315509" 1990 NA "Eugenia hilariana" "Kawasaki, ML" -42.966667 -16.6 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPF" "220879" 2015 NA "Eugenia hilariana" "Faria, JEQ" -46.114722 -10.619528 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "588108" 2002 NA "Eugenia hilariana" "M. Sobral et F. Mazine" -43.1166666666667 -17.1672222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
