"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "307882" 1990 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.3125 10.766667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308001" 1990 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.16666 10.5 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308562" 1987 NA "Eugenia hiraeifolia" "F.R. Barrie" -84.8 10.3 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309466" 1991 NA "Eugenia hiraeifolia" "F.R. Barrie (MO)" -85.35 10.35 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309479" 1992 NA "Eugenia hiraeifolia" "F. Barrie" -85.64722 10.525 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309492" 1992 NA "Eugenia hiraeifolia" "F. Barrie" -85.283333 10.366667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311648" 1992 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.370833 10.176389 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863112" 1995 NA "Eugenia hiraeifolia" "F.R. Barrie" -84.20888 9.7625 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863486" 1970 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.3 10.33333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863487" 1932 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.35583 10.75527 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863485" 1976 NA "Eugenia hiraeifolia" "F.R. Barrie" -83.75 9.57 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863488" 1970 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.17 10.34 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863880" 1977 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.61666 10.83333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863878" 1930 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.07888 10.42666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863877" 1969 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.095 10.42694 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864189" 1996 NA "Eugenia hiraeifolia" "F.R. Barrie" -84.56388 9.82222 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864185" 1965 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.26666 10.53333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864186" 1965 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.25861 10.52722 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864184" 1976 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.23333 10.61666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864529" 1993 NA "Eugenia hiraeifolia" "F.R. Barrie" -84.19 9.78 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864526" 1985 NA "Eugenia hiraeifolia" "F.R. Barrie" -85.13972 10.41944 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
