"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "1308550" 1979 NA "Eugenia hypargyrea" "F.R. Barrie" -85.65 10.98 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309712" 1987 NA "Eugenia hypargyrea" "F.R. Barrie" -85.31 10.78 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2863116" 2000 NA "Eugenia hypargyrea" "F.R. Barrie" -85.64361 10.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864192" 1978 NA "Eugenia hypargyrea" "F.R. Barrie" -85.68333 10.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864193" 1976 NA "Eugenia hypargyrea" "F.R. Barrie" -85.61666 10.83333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864812" 1919 NA "Eugenia hypargyrea" "F.R. Barrie" -96.75 19.16666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864811" 1984 NA "Eugenia hypargyrea" "F.R. Barrie" -85.35 10.83333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2864809" 1985 NA "Eugenia hypargyrea" "F.R. Barrie" -85.74 10.87 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865362" 1983 NA "Eugenia hypargyrea" "F.R. Barrie" -94.04 16.42 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865609" 1972 NA "Eugenia hypargyrea" "F.R. Barrie" -93.883056 16.334167 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2865611" 1912 NA "Eugenia hypargyrea" "F.R. Barrie" -96.6 19.26666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1702160" 1997 NA "Eugenia hypargyrea" "F.R. Barrie" -85.64 10.81 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1704494" 1972 NA "Eugenia hypargyrea" "F.R. Barrie" -93.87 16.32 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NHMUK" "BOT" "BM000884423" 1912 NA "Eugenia hypargyrea" "Rogers McVaugh" -96.589125 19.120019 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NHMUK" "BOT" "BM000043773" 1968 NA "Eugenia hypargyrea" "Fred Rogers Barrie" -86.619143 14.819222 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
