"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB00872807" 2012 NA "Eugenia laruotteana" "J.E.Q. Faria" -43.4308333333333 -19.415 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00558007" NA NA "Eugenia laruotteana" "M. Sobral" -42.9655555555556 -22.4122222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01337340" 2016 NA "Eugenia laruotteana" "J.E.Q. Faria" -43.5138888888889 -18.1744444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "558007" 1977 NA "Eugenia laruotteana" "M. Sobral" -42.9656 -22.4122 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "80106" NA NA "Eugenia laruotteana" "J. E. Q. Faria Júnior" -42.878611 -16.560555 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "90641" NA NA "Eugenia laruotteana" "J. E. Q. Faria Júnior" -43.430833 -19.415 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HDJF" "4379" 2016 NA "Eugenia laruotteana" "Faria, JEQ" -43.504722 -18.146667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HDJF" "4576" 2016 NA "Eugenia laruotteana" "Faria, JEQ" -43.513889 -18.174444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHCB" "136779" 2008 NA "Eugenia laruotteana" "" -43.431333 -19.414444 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "170916" 2011 NA "Eugenia laruotteana" "Faria, JEQ" -42.878611 -16.560556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "208564" NA NA "Eugenia laruotteana" "Faria, JEQ" -43.515833 -18.1775 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "RBR" "42421" 2016 NA "Eugenia laruotteana" "L.F. Gonçalves" -43.0041667 -22.4916666 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPF" "197953" 2008 NA "Eugenia laruotteana" "Sobral, M" -43.431111 -19.414444 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "768279" 2016 NA "Eugenia laruotteana" "L.F. Gonçalves" -43.0041666666667 -22.4916666666667 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "768296" 2016 NA "Eugenia laruotteana" "L.F. Gonçalves" -42.9997222222222 -22.4930555555556 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "416099" 2005 NA "Eugenia laruotteana" "M.Sobral" -42.9975 -22.495 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
