"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0035809" 2009 "2009-03-05" "Eugenia ligustrina" "E.C.O.Chagas" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057700" 2014 NA "Eugenia ligustrina" "Sem determinador" -36.7380555555556 -9.36916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0009778" 1998 NA "Eugenia ligustrina" "M.Sobral" -36.2852777777778 -10.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0023547" 1988 NA "Eugenia ligustrina" "Sem determinador" -48.2019444444445 -22.7258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0015105" 2001 "2009-03-29" "Eugenia ligustrina" "E.C.O.Chagas" -36.2975 -10.0163888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022906" 2005 "2009-03-29" "Eugenia ligustrina" "E.C.O.Chagas" -35.8925 -9.25472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0062015" 2012 NA "Eugenia ligustrina" "M.Sobral" -36.8091666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0017610" 2003 NA "Eugenia ligustrina" "E.C.O.Chagas" -36.3005555555556 -10.2138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01390873" 2016 NA "Eugenia ligustrina" "L.F. Gonçalves" -43.0141666666667 -22.4505555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0021109" 1987 NA "Eugenia ligustrina" "Proença, C" -37.4327777777778 -11.0408333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00561426" 1995 NA "Eugenia ligustrina" "M. Sobral" -38.5708333333333 -8.6 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01205648" 2016 NA "Eugenia ligustrina" "Sem determinador" -35.9916666666667 -5.84916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01040311" 2014 NA "Eugenia ligustrina" "Helton Josué T. Muniz" -41.6158333333333 -21.3611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS178174" NA NA "Eugenia ligustrina" "K.Coutinho" -40.4222222222222 -12.3538888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0015944" 1988 NA "Eugenia ligustrina" "Proença, C" -37.2511111111111 -10.0613888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00981368" NA NA "Eugenia ligustrina" "Sem determinador" -46.3875 -21.9230555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01348621" 2012 NA "Eugenia ligustrina" "B.S. Amorim" -36.4280555555556 -9.25111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
