"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0051459" 2010 NA "Eugenia luschnathiana" "B.S.Amorim" -46.5591666666667 -1.28527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01377785" 2016 "2016-11-08" "Eugenia luschnathiana" "E.O.Moura" -35.1986111111111 -5.8725 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01039381" 2003 NA "Eugenia luschnathiana" "Sem determinador" -43.2075 -22.9027777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UFRN" "UFRN00018381" 2016 "2016-10-06" "Eugenia luschnathiana" "Moura, E.O." -35.2008333333333 -5.8425 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00557931" NA NA "Eugenia luschnathiana" "Sem determinador" -39.0391666666667 -15.1597222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "NYBG_BR" "1039377" 2003 NA "Eugenia luschnathiana" "" -43.2075 -22.9028 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "557931" NA NA "Eugenia luschnathiana" "" -39.039072 -15.159747 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "IPA" "59380" 1999 "2010-07-21" "Eugenia luschnathiana" "Amorim, B.S." -35.1875 -5.929167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "EAC" "59266" 2016 "2016-04-01" "Eugenia luschnathiana" "Negreiros, A.P." -38.278667 -3.975111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "EAC" "59290" 2016 "2016-04-01" "Eugenia luschnathiana" "Ribeiro, R.T.M." -38.277306 -3.976333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "EAC" "59495" 2015 "2015-12-17" "Eugenia luschnathiana" "Lima-Verde, L.W." -39.427583 -3.181611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "199197" 2012 NA "Eugenia luschnathiana" "Faria, JEQ" -43.430833 -19.415 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HURB" "16975" 2016 "2016-09-13" "Eugenia luschnathiana" "E.O.Moura" -35.153056 -5.960278 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UFP" "75962" 2013 NA "Eugenia luschnathiana" "Amorim, B.S." -35.7569444444 -8.1505555556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HST" "22219" 2017 NA "Eugenia luschnathiana" "" -35.192089 -5.813097 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "IAC" "48360" 2006 "2007-05-17" "Eugenia luschnathiana" "M.E.G. Sobral" -47.8811 -24.715 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUEFS" "90223" 2004 NA "Eugenia luschnathiana" "E.Lucas" -41.333333 -12.983333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "603310" 2012 NA "Eugenia luschnathiana" "J.E.Q. Faria" -43.4308333333333 -19.415 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
